"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"50","LM_0235",8,"E7aDTU",-5.84,53.5403908319353,"pos",5000,"E88:E64",99.64,"E88","E64",5263.15789473684,"STRA_SCHUNT","WDS","mLN",45.74,6.52,17.115,8.645,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,28.69,NA,NA,NA,NA,NA,NA
"51","LM_0236",8,"E7aFRU",-6.02,121.105391312534,"pos",77500,"E88:E64",103.05,"E88","E64",33261.8025751073,"STRA_STRA","WDS","mLN",46.33,6.465,21,14.54,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,46.265,NA,NA,NA,NA,NA,NA
"52","LM_0238",8,"E7aLYZ",-4.42,61.4115394386923,"pos",217500,"E88:E64",95.42,"E88","E64",157608.695652174,"PWD_BUSNA","WDS","mLN",43.325,8.915,13.09,6.825,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,27.8,NA,NA,NA,NA,NA,NA
"53","LM_0239",8,"E7aJMR",-6.76,25.060196364609,"pos",0,"E88:E88",95.16,"E88","E88",0,"SCHUNT_SCHUNT","WDS","mLN",68.01,3.63,14.11,14.35,1.73,14.31,0.925,33.075,13.9,3.785,8.985,1.69,13.755,NA,NA,NA,NA,NA,NA
"54","LM_0240",8,"E7aCIW",-6.65,43.3808823861458,"pos",2500,"E88:E64",100,"E88","E64",1798.56115107914,"SCHUNT_PWD","WDS","mLN",37.435,9.045,20.515,9.26,9.1,64.37,0.805,49.91,31.115,13.46,38.515,9.6,30.505,NA,NA,NA,NA,NA,NA
"55","LM_0247",8,"E7aJMX",-4.68,15.7742979705957,"pos",2500,"E88:E88",95.58,"E88","E88",350.140056022409,"STRA_SCHUNT","WDS","mLN",53.25,6.895,7.85,9.015,2.505,19.19,0.945,28.815,18.08,3.455,8.71,1.95,13.49,NA,NA,NA,NA,NA,NA
"56","LM_0248",8,"E7aAPS",-6.92,31.9834136276131,"pos",10000,"E88:E64",87.72,"E88","E64",4000,"STRA_SCHUNT","WDS","mLN",43.09,6.12,21.885,25.48,7.62,60.78,1.415,45.325,16.055,7.815,60.255,8.38,29.545,NA,NA,NA,NA,NA,NA
"57","LM_0249",8,"E7aPSV",-5.96,25.5475919853859,"pos",7500,"E88:E64",93.49,"E88","E64",2767.52767527675,"SCHUNT_STRA","WDS","mLN",47.34,6.465,16.775,13.315,4.84,54.635,0.97,35.275,19.235,4.93,44.24,4.355,23.725,NA,NA,NA,NA,NA,NA
"58","LM_0251",8,"E7aEOT",-4.73,1.71942881541789,"pos",0,"E88:E88",94.3,"E88","E88",0,"STRA_BUSNA","WDS","mLN",61.525,5.65,12.71,9.66,1.875,29.575,0.535,21.155,17.08,4.755,15.41,1.81,11.825,NA,NA,NA,NA,NA,NA
"59","LM_0254",8,"E7aBCD",-8.48,23.1158022243411,"neg",0,"E88:E88",94.27,"E88","E88",0,"SCHUNT_PWD","WDS","mLN",51.475,6.69,12.11,7.535,1.455,21.435,0.55,22.92,28.36,5.64,6.335,1.65,16.1,NA,NA,NA,NA,NA,NA
"60","LM_0255",8,"E7aMOR",-2.73,87.5850373523195,"pos",92500,"E88:E64",93.04,"E88","E64",65602.8368794326,"BUSNA_BUSNA","WDS","mLN",36.155,8.875,24.11,8.97,11.54,90.78,4.05,67.78,24.175,20.5,29.365,3.24,27.11,NA,NA,NA,NA,NA,NA
"61","LM_0256",8,"E7aJVZ",-8.9,14.6139889944201,"neg",0,"E88:E88",102.3,"E88","E88",0,"STRA_STRA","WDS","mLN",54.575,5.11,13.005,9.13,1.835,22.3,1.075,30.89,11.41,4.455,12.675,2.58,22.56,NA,NA,NA,NA,NA,NA
"62","LM_0257",8,"E7aJQU",-6.93,21.2530814946465,"pos",17500,"E88:E64",89.85,"E88","E64",11986.301369863,"SCHUNT_SCHUNT","WDS","mLN",58.92,5.075,16.575,15.28,4.445,48.205,0.795,28.355,17.805,7.63,39.93,4.845,26.83,NA,NA,NA,NA,NA,NA
"63","LM_0258",8,"E7aHVW",-5.75,22.5199587596992,"pos",42500,"E64:E64",92.6,"E64","E64",34836.0655737705,"BUSNA_PWD","WDS","mLN",49.925,7.915,15.795,4.28,3.71,75.72,0.765,46.72,33.62,13.385,33.365,1.74,16.375,NA,NA,NA,NA,NA,NA
"64","LM_0259",8,"E7aGHI",-8,41.1760044409716,"neg",7500,"E64:E64",98.03,"E64","E64",2906.97674418605,"STRA_BUSNA","WDS","mLN",43.27,7.155,16.365,10.45,5.485,65.425,1.17,29.27,10.565,11.43,47.355,3.415,26.765,NA,NA,NA,NA,NA,NA
