labels,EH_ID,dpi,weight,weightloss,relative_weight,feces_weight,,weight_dpi0
JPR,LM0156,1,17.9,,101.704545454545,1.03,,17.6
QVY,LM0157,1,25.9,,100,0.76,,25.9
HVW,LM0158,1,30.5,,101.328903654485,1.4,,30.1
IMQ,LM0159,1,16.1,,101.898734177215,1.49,,15.8
DMU,LM0160,1,11.5,,92.741935483871,0.11,,12.4
BKS,LM0161,1,35.9,,98.0874316939891,0.84,,36.6
BHY,LM0162,1,17,,98.2658959537572,1.05,,17.3
ARS,LM0163,1,17.5,,101.156069364162,1.24,,17.3
APV,LM0164,1,23.5,,98.7394957983193,1.21,,23.8
FYZ,LM0165,1,20.8,,102.463054187192,1.07,,20.3
PWX,LM0166,1,30.2,,100,1.31,,30.2
ANP,LM0167,1,13.4,,99.2592592592593,0.52,,13.5
DKP,LM0168,1,26.5,,98.1481481481482,2.12,,27
OPT,LM0169,1,14.9,,101.360544217687,0.64,,14.7
DHK,LM0170,1,22.2,,99.1071428571429,0.77,,22.4
JKM,LM0171,1,14,,100,0.45,,14
LSZ,LM0172,1,18.8,,98.9473684210526,2.31,,19
ILM,LM0173,1,14.5,,94.7712418300653,1.44,,15.3
BCP,LM0174,1,16.6,,98.2248520710059,1.06,,16.9
AFM,LM0175,1,26.2,,98.8679245283019,1.1,,26.5
AIQ,LM0176,1,22.8,,101.333333333333,0.71,,22.5
HIR,LM0177,1,15.5,,104.72972972973,0.63,,14.8
JMX,LM0178,1,18,,99.4475138121547,1.28,,18.1
BJK,LM0146,2,19.8,,100,1.29,,19.8
BEX,LM0147,2,16.6,,106.410256410256,0.84,,15.6
FMO,LM0148,2,17.5,,99.4318181818182,0.97,,17.6
BCK,LM0149,2,20.7,,100,1.12,,20.7
GLU,LM0150,2,18.5,,95.8549222797928,0.85,,19.3
HJL,LM0151,2,31,,105.084745762712,1.47,,29.5
AJX,LM0152,2,17.9,,98.8950276243094,0.77,,18.1
FKX,LM0153,2,12.5,,98.4251968503937,0.4,,12.7
DFW,LM0154,2,14.3,,95.3333333333334,0.81,,15
MQU,LM0155,2,,,NA,,,NA
GVX,LM0156,2,17.7,,100.568181818182,1,,17.6
ADG,LM0157,2,26.6,,102.702702702703,0.72,,25.9
MWX,LM0158,2,31.6,,104.983388704319,0.52,,30.1
BEZ,LM0159,2,15.3,,96.8354430379747,0.83,,15.8
IJS,LM0160,2,10.9,,87.9032258064516,0.18,,12.4
DGM,LM0161,2,36.9,,100.819672131148,1.07,,36.6
DKO,LM0162,2,17.2,,99.4219653179191,0.86,,17.3
GHL,LM0163,2,17.5,,101.156069364162,0.56,,17.3
ILO,LM0164,2,24.2,,101.680672268908,0.86,,23.8
GMO,LM0165,2,18.5,,91.1330049261084,0.56,,20.3
CEL,LM0166,2,31.1,,102.980132450331,0.83,,30.2
LRU,LM0167,2,13.6,,100.740740740741,0.28,,13.5
OSZ,LM0168,2,27.8,,102.962962962963,0.8,,27
KRX,LM0169,2,14.9,,101.360544217687,0.4,,14.7
FOZ,LM0170,2,22.8,,101.785714285714,0.98,,22.4
JWZ,LM0171,2,14,,100,0.47,,14
FTV,LM0172,2,18.4,,96.8421052631579,1.78,,19
BJP,LM0173,2,14.9,,97.3856209150327,1.03,,15.3
FRZ,LM0174,2,16.7,,98.8165680473373,1.06,,16.9
NUZ,LM0175,2,26.2,,98.8679245283019,0.77,,26.5
RST,LM0176,2,23.1,,102.666666666667,0.75,,22.5
HJZ,LM0177,2,14.9,,100.675675675676,0.82,,14.8
LXY,LM0178,2,18,,99.4475138121547,1.19,,18.1
IKN,LM0146,3,19.3,NA,97.4747474747475,1,,19.8
ORY,LM0147,3,16.8,NA,107.692307692308,1,,15.6
JYZ,LM0148,3,17.3,NA,98.2954545454546,1.09,,17.6
ELO,LM0149,3,21.2,NA,102.415458937198,1.23,,20.7
DFM,LM0150,3,17.7,NA,91.7098445595855,0.1,,19.3
HKM,LM0151,3,29.8,NA,101.016949152542,1.59,,29.5
IOT,LM0152,3,18,NA,99.4475138121547,0.84,,18.1
HJK,LM0153,3,12.8,NA,100.787401574803,0.36,,12.7
LNS,LM0154,3,14.7,NA,98,0.59,,15
JWY,LM0155,3,NA,NA,NA,NA,,NA
ESX,LM0156,3,17.6,NA,100,1.39,,17.6
BEY,LM0157,3,27.1,NA,104.633204633205,1.11,,25.9
IMV,LM0158,3,31.8,NA,105.647840531561,0.94,,30.1
FMQ,LM0159,3,15.3,NA,96.8354430379747,1.03,12.3 was the weight written but fehler was written,15.8
DQV,LM0160,3,NA,NA,NA,NA,,12.4
WXY,LM0161,3,37,NA,101.092896174863,1.17,,36.6
CHX,LM0162,3,17.5,NA,101.156069364162,1.04,,17.3
OQT,LM0163,3,17.5,NA,101.156069364162,0.88,,17.3
