"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0029.Day8_.p","7dip","EI64","LM0029",8,NA
"LM0085.Day8_.p","7dip","Uninf","LM0085",8,NA
"LM0079.Day8_.p","7dip","Eflab","LM0079",8,NA
"LM0024.Day8_.p","7dip","Efwild","LM0024",8,NA
"LM0084.Day8_.p","7dip","EI64","LM0084",8,NA
"LM0042.Day8_.p","7dip","Uninf","LM0042",8,NA
"LM0059.Day8_.p","7dip","Eflab","LM0059",8,NA
"LM0046.Day8_.p","7dip","Efwild","LM0046",8,NA
"LM0043.Day8_.p","7dip","EI64","LM0043",8,NA
"LM0065.Day8_.p","7dip","Uninf","LM0065",8,NA
"LM0033.Day8_.p","9dpi","Eflab","LM0033",8,88.75
"LM0045.Day8_.p","9dpi","Efwild","LM0045",8,89.5
"LM0056.Day8_.p","9dpi","EI64","LM0056",8,101.686746987952
"LM0091.Day8_.p","9dpi","Uninf","LM0091",8,102.816901408451
"LM0073.Day8_.p","9dpi","Eflab","LM0073",8,87.012987012987
"LM0028.Day8_.p","9dpi","Efwild","LM0028",8,90.4494382022472
"LM0035.Day8_.p","9dpi","EI64","LM0035",8,93.2773109243697
"LM0023.Day8_.p","9dpi","Uninf","LM0023",8,105.345911949686
"LM0080.Day8_.p","9dpi","Eflab","LM0080",8,82.8644501278772
"LM0030.Day8_.p","9dpi","Efwild","LM0030",8,92.3913043478261
"LM0066.Day8_.p","9dpi","EI64","LM0066",8,100.297619047619
"LM0089.Day8_.p","9dpi","Uninf","LM0089",8,90
"LM0021.Day8_.p","11dpi","Eflab","LM0021",8,76.9444444444444
"LM0048.Day8_.p","11dpi","Efwild","LM0048",8,85.3107344632768
"LM0072.Day8_.p","11dpi","EI64","LM0072",8,97.6047904191617
"LM0032.Day8_.p","11dpi","Uninf","LM0032",8,100
"LM0025.Day8_.p","11dpi","Eflab","LM0025",8,84.5238095238095
"LM0027.Day8_.p","11dpi","Efwild","LM0027",8,89.4927536231884
"LM0078.Day8_.p","11dpi","EI64","LM0078",8,100.867052023121
"LM0049.Day8_.p","11dpi","Uninf","LM0049",8,100
"LM0031.Day8_.p","11dpi","Eflab","LM0031",8,85.6269113149847
"LM0054.Day8_.p","11dpi","Efwild","LM0054",8,90.3225806451613
"LM0071.Day8_.p","11dpi","EI64","LM0071",8,99.0625
"LM0053.Day8_.p","11dpi","Uninf","LM0053",8,110.38961038961
"LM0075.Day9_.p","7dip","Eflab","LM0075",9,NA
"LM0094.Day9_.p","7dip","Efwild","LM0094",9,NA
"LM0029.Day9_.p","7dip","EI64","LM0029",9,NA
"LM0085.Day9_.p","7dip","Uninf","LM0085",9,NA
"LM0079.Day9_.p","7dip","Eflab","LM0079",9,NA
