"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","Strain","EXP_type","OPG","weight","weight_dpi0","faeces_weight","batch","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","label.1","totalOocysts"
"54","LM_0233",7,"E7aIMQ",NA,NA,NA,0,"E88:E88",104.94,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","LM_0233",8,"E7aSTU",-5.97,81.662990584743,"pos",0,"E88:E88",100.64,"E88","E88","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","LM_0234",0,"E7aJPX",NA,NA,NA,0,"E88:E64",100,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","LM_0234",1,"E7aGHS",NA,NA,NA,0,"E88:E64",97.89,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","LM_0234",2,"E7aJMZ",NA,NA,NA,0,"E88:E64",99.76,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","LM_0234",3,"E7aEKV",NA,NA,NA,0,"E88:E64",100.73,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","LM_0234",4,"E7aCET",NA,NA,NA,2500,"E88:E64",100.82,"E88","E64","STRA_STRA","WDS",1086.95652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","LM_0234",5,"E7aAEJ",NA,NA,NA,932500,"E88:E64",98.14,"E88","E64","STRA_STRA","WDS",407205.240174673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","LM_0234",6,"E7aAGX",NA,NA,NA,1057500,"E88:E64",99.54,"E88","E64","STRA_STRA","WDS",783333.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","LM_0234",7,"E7aAHU",NA,NA,NA,677500,"E88:E64",100.85,"E88","E64","STRA_STRA","WDS",396198.830409357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
