"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"430","FGM","E5",0,0,0,0,0,"1"
"431","FTU","E5",0,0,0,0,0,"1"
"432","PQS","E5",0,0,0,0,0,"1"
"433","BPY","E5",0,2,1,2,1.25,"1"
"434","FIV","E5",5,0,3,8,4,"1"
"435","GTV","E5",3,2,1,4,2.5,"1"
"436","AEI","E5",0,0,0,0,0,"1"
"437","KYZ","E5",0,0,0,0,0,"1"
"438","DKY","E5",0,0,0,0,0,"1"
"439","FYZ","E5",0,0,0,0,0,"1"
"440","RWX","E5",0,0,0,0,0,"1"
"441","KUW","E5",0,0,0,0,0,"1,5"
"442","FHS","E5",0,0,0,0,0,"1"
"443","LPY","E5",0,0,0,0,0,"1"
"444","EGJ","E5",0,0,0,0,0,"2"
"445","BIU","E5",0,0,0,0,0,"1"
"446","FLO","E5",0,0,0,0,0,"1"
"447","JUY","E5",10,5,9,8,8,"1"
"448","EQV","E5",0,0,0,0,0,"2"
"449","JTY","E5",0,0,0,0,0,"1"
"450","HKO","E5",0,0,2,1,0.75,"1"
"451","GQV","E5",0,0,0,0,0,"1"
"452","CDR","E5",0,0,0,0,0,"1"
"453","DJL","E5",0,0,0,0,0,"1,5"
"454","FRU","E5",0,0,1,1,0.5,"1"
"455","ISV","E5",0,0,0,0,0,"1"
"456","JSX","E5",0,0,0,0,0,"1"
"457","CLX","E5",0,0,0,0,0,"1"
"458","TVW","E5",0,0,0,0,0,"2"
"459","CVZ","E5",0,0,0,0,0,"1"
"460","GSY","E5",2,0,1,0,0.75,"1"
"461","ELN","E5",0,0,0,0,0,"1"
"462","GLV","E5",0,0,0,0,0,"1"
"463","PSY","E5",0,0,0,0,0,"1"
"464","ABD","E5",0,0,0,0,0,"1"
"465","DEO","E5",0,0,0,0,0,"1"
"466","EHS","E5",0,0,0,0,0,"1"
"467","BCE","E5",0,0,0,0,0,"1"
"468","CEW","E5",0,0,0,0,0,"1"
"469","EPU","E5",0,0,0,0,0,"1"
