,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
130,LM_0338,1,P3bRYZ,b,P3,97.6095617529881,NA,E64,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,LM_0339,1,P3aCMY,a,P3,97.9838709677419,NA,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,LM_0339,1,P3bTTE,b,P3,97.5257731958763,NA,E64,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,LM_0340,1,P3aQAG,a,P3,97.4311926605505,NA,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,LM_0340,1,P3bZJZ,b,P3,98.5074626865672,NA,E64,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,LM_0341,1,P3aTLE,a,P3,91.8781725888325,NA,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,LM_0341,1,P3bYNS,b,P3,94.6643717728055,NA,E139,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,LM_0342,1,P3aOLI,a,P3,97.8947368421053,NA,E139,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,LM_0342,1,P3bKLB,b,P3,97.3021582733813,NA,E139,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,LM_0343,1,P3aJRY,a,P3,94.9832775919733,NA,E139,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,LM_0343,1,P3bQJG,b,P3,97.6991150442478,NA,E139,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,LM_0344,1,P3aKUI,a,P3,100.583657587549,NA,UNI,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,LM_0344,1,P3bNZA,b,P3,98.3539094650206,NA,UNI,E88,SWISS,NA,NA,NA,UNI:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
