"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"161","LM0225","E57aDUX","E5",27.75,28.05,"98.9304812834225",2.07,1,"primary"
"162","LM0226","E57aBXY","E5",15.24,15.16,"100.527704485488",0.98,1,"primary"
"163","LM0227","E57aJMP","E5",21.38,20.03,"106.739890164753",0.75,1,"primary"
"164","LM0228","E57aMWY","E5",19.49,18.56,"105.010775862069",0.64,1,"primary"
"165","LM0229","E57aEKT","E5",16.24,15.82,"102.654867256637",0,1,"primary"
"166","LM0230","E57aDWX","E5",15.13,15.87,"95.3371140516698",1.07,1,"primary"
"167","LM0231","E57aDRV","E5",18.82,18.71,"100.587920897916",1.37,1,"primary"
"168","LM0232","E57aCQX","E5",24.26,24.14,"100.49710024855",0.68,1,"primary"
"169","LM0233","E57aBCL","E5",24.77,24.55,"100.896130346232",0,1,"primary"
"170","LM0234","E57aOQR","E5",28.68,28.55,"100.45534150613",0.97,1,"primary"
"171","LM0235","E57aJVX","E5",17.89,17.03,"105.049911920141",0,1,"primary"
"172","LM0236","E57aRVW","E5",23.97,23.64,"101.395939086294",1.39,1,"primary"
"173","LM0237","E57aDSX","E5",12.12,11.02,"109.981851179673",0.58,1,"primary"
"174","LM0238","E57aFQV","E5",17.43,15.31,"113.847158719791",0.43,1,"primary"
"175","LM0239","E57aDEK","E5",17.38,16.84,"103.206650831354",0,1,"primary"
"176","LM0240","E57aFLQ","E5",18.39,16.19,"113.588634959852",0,1,"primary"
"177","LM0241","E57aHOS","E5",15.77,14.51,"108.68366643694",0,1,"primary"
"178","LM0242","E57aIMY","E5",18.05,15.65,"115.335463258786",0,1,"primary"
"179","LM0243","E57aRSZ","E5",19.71,18.58,"106.081808396125",0.83,1,"primary"
"180","LM0244","E57aALY","E5",13.44,12.33,"109.002433090024",0,1,"primary"
"181","LM0245","E57aBRZ","E5",16.93,16.71,"101.31657690006",0,1,"primary"
"182","LM0246","E57aAKO","E5",18.64,17.95,"103.844011142061",0.65,1,"primary"
"183","LM0247","E57aGLM","E5",24.7,25.21,"97.9769932566442",1.16,1,"primary"
"184","LM0248","E57aCMW","E5",19.04,17.99,"105.836575875486",0.95,1,"primary"
"185","LM0249","E57aFVY","E5",22.25,22.27,"99.9101930848675",0,1,"primary"
"186","LM0250","E57aDUZ","E5",20.53,20.59,"99.7085964060223",1.21,1,"primary"
"187","LM0251","E57aADK","E5",19.47,19.67,"98.9832231825114",0,1,"primary"
"188","LM0252","E57aOWX","E5",15.16,15.01,"100.999333777482",0.41,1,"primary"
"189","LM0253","E57aDEJ","E5",10.95,11.08,"98.826714801444",0.17,1,"primary"
"190","LM0254","E57aATW","E5",21.35,20.16,"105.902777777778",0.86,1,"primary"
"191","LM0255","E57aGMY","E5",14.69,14.65,"100.273037542662",1.02,1,"primary"
"192","LM0256","E57aGLZ","E5",25.2,25.63,"98.3222785797893",1.19,1,"primary"
"193","LM0257","E57aCLV","E5",20.19,19.57,"103.16811446091",0,1,"primary"
"194","LM0258","E57aGLU","E5",17.24,17.53,"98.3456930975471",0.81,1,"primary"
"195","LM0259","E57aCRU","E5",24.71,24.62,"100.365556458164",0,1,"primary"
"196","LM0260","E57aLUX","E5",19.93,20.11,"99.1049229239185",1.65,1,"primary"
"197","LM0261","E57aCHT","E5",15.79,15.38,"102.665799739922",1.03,1,"primary"
"198","LM0262","E57aKTV","E5",14.89,15.24,"97.7034120734908",0,1,"primary"
"199","LM0263","E57aTVZ","E5",18.96,18.47,"102.652950730915",1.17,1,"primary"
"200","LM0264","E57aNSX","E5",14.68,17.69,"82.9847371396269",1.08,1,"primary"
"201","LM0265","E57aGPZ","E5",23.78,23.29,"102.103907256333",1.41,1,"primary"
"202","LM0266","E57aDPQ","E5",18.7,18.04,"103.658536585366",1.15,1,"primary"
"203","LM0267","E57aITZ","E5",26.72,26.73,"99.9625888514777",1.12,1,"primary"
"204","LM0268","E57aEJR","E5",18.15,18.01,"100.777345918934",1.18,1,"primary"
"205","LM0269","E57aBCU","E5",20.91,20.09,"104.081632653061",1.14,1,"primary"
"206","LM0270","E57aJTZ","E5",19.88,19.14,"103.866248693835",0,1,"primary"
"207","LM0271","E57aCEU","E5",20.92,21.28,"98.3082706766917",1.45,1,"primary"
"208","LM0272","E57aCNY","E5",16.16,16.13,"100.18598884067",2.05,1,"primary"
"209","LM0273","E57aEMU","E5",18.6,18.66,"99.6784565916399",0,1,"primary"
"210","LM0274","E57aTUZ","E5",22.59,24.65,"91.6430020283976",0,1,"primary"
"211","LM0275","E57aFKX","E5",17.92,19.4,"92.3711340206186",1.89,1,"primary"
"212","LM0276","E57aCRZ","E5",24.3,24.31,"99.958864664747",3.02,1,"primary"
"213","LM0277","E57aEXY","E5",19.45,19.36,"100.464876033058",1.95,1,"primary"
"214","LM0278","E57aIKU","E5",17.35,17.54,"98.9167616875713",1.71,1,"primary"
"215","LM0279","E57aJOR","E5",13.13,13.43,"97.7661950856292",1.85,1,"primary"
"216","LM0280","E57aHKQ","E5",16.23,16.32,"99.4485294117647",1.69,1,"primary"
"217","LM0281","E57aJMN","E5",13.99,14.41,"97.0853573907009",1.4,1,"primary"
"218","LM0282","E57aEOS","E5",23.8,24.32,"97.8618421052632",1.38,1,"primary"
"219","LM0283","E57aDLY","E5",14.56,15.15,"96.1056105610561",0.76,1,"primary"
"220","LM0284","E57aAEK","E5",21.88,21.53,"101.625638643753",0,1,"primary"
"221","LM0285","E57aBMQ","E5",15.28,15.92,"95.9798994974874",2.49,1,"primary"
"222","LM0286","E57aEVX","E5",15.38,15.42,"99.7405966277562",1.83,1,"primary"
