"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"441","E10bJVK","E10",16,30,11,17,18.5,174528.301886792,1
"442","E10bKBF","E10",0,0,0,0,0,0,1
"443","E10bKGF","E10",0,0,0,0,0,0,1
"444","E10bKJN","E10",39,33,20,33,31.25,223214.285714286,1
"445","E10bKSO","E10",21,24,28,28,25.25,133597.883597884,1
"446","E10bKVT","E10",0,0,0,0,0,0,1
"447","E10bKZX","E10",0,0,0,0,0,0,1
"448","E10bLCS","E10",2,1,0,1,1,9523.80952380952,1
"449","E10bLEJ","E10",0,0,0,0,0,0,1
"450","E10bLFS","E10",14,23,15,15,16.75,644230.769230769,1
"451","E10bLQF","E10",0,0,0,0,0,0,1
"452","E10bLQI","E10",0,0,0,0,0,0,1
"453","E10bLQS","E10",0,0,0,0,0,0,1
"454","E10bLUW","E10",0,0,0,0,0,0,1
"455","E10bLYR","E10",0,0,0,0,0,0,1
"456","E10bMFI","E10",0,0,0,0,0,0,1
"457","E10bMHK","E10",0,0,0,0,0,0,1
"458","E10bMSM","E10",0,0,0,0,0,0,1
"459","E10bMTZ","E10",4,4,3,3,3.5,19774.011299435,1
"460","E10bMVN","E10",0,0,0,0,0,0,1
"461","E10bNED","E10",0,0,0,0,0,0,1
"462","E10bNJY","E10",0,0,0,0,0,0,1
"463","E10bNPL","E10",0,0,0,0,0,0,1
"464","E10bNVX","E10",0,0,0,0,0,0,1
"465","E10bOET","E10",0,0,0,0,0,0,1
"466","E10bOKS","E10",0,0,0,0,0,0,1
"467","E10bOPZ","E10",0,0,0,0,0,0,1
"468","E10bOVS","E10",0,0,0,0,0,0,1
"469","E10bOZK","E10",0,0,0,0,0,0,1
"470","E10bPNK","E10",0,0,0,0,0,0,1
"471","E10bPON","E10",0,0,0,0,0,0,1
"472","E10bPSW","E10",37,31,36,36,35,1346153.84615385,1
"473","E10bPZH","E10",0,0,0,0,0,0,1
"474","E10bQBG","E10",0,0,0,0,0,0,1
"475","E10bQFC","E10",0,0,0,0,0,0,1
"476","E10bQJO","E10",0,0,0,0,0,0,1
"477","E10bQPC","E10",0,0,0,0,0,0,1
"478","E10bQSC","E10",0,0,0,0,0,0,1
"479","E10bQSC.1","E10",102,100,91,105,99.5,1105555.55555556,1
"480","E10bQTG","E10",0,0,0,0,0,0,1
"481","E10bQUT","E10",0,0,0,0,0,0,1
"482","E10bQUW","E10",0,0,0,0,0,0,1
"483","E10bQYU","E10",0,0,0,0,0,0,1
"484","E10bRFH","E10",0,0,0,0,0,0,1
"485","E10bRJY","E10",11,5,9,13,9.5,80508.4745762712,1
"486","E10bRMO","E10",23,17,20,25,21.25,128787.878787879,1
"487","E10bRVA","E10",0,0,0,0,0,0,1
"488","E10bSBP","E10",0,0,0,0,0,0,1
"489","E10bSDV","E10",29,18,31,28,26.5,254807.692307692,1
"490","E10bSLC","E10",0,0,0,0,0,0,1
"491","E10bSLN","E10",40,32,34,35,35.25,204941.860465116,1
"492","E10bSOB","E10",0,0,0,0,0,0,1
"493","E10bSTP","E10",0,0,0,0,0,0,1
"494","E10bSZL","E10",0,0,0,0,0,0,1
"495","E10bSZV","E10",0,0,0,0,0,0,1
"496","E10bSZX","E10",0,0,0,0,0,0,1
"497","E10bTHK","E10",0,0,0,0,0,0,1
"498","E10bTJP","E10",3,5,6,17,7.75,80729.1666666667,1
"499","E10bTSD","E10",0,0,0,0,0,0,1
"500","E10bUQM","E10",0,0,0,0,0,0,1
"501","E10bUTC","E10",0,0,0,0,0,0,1
"502","E10bUZM","E10",0,0,0,0,0,0,1
"503","E10bUZY","E10",0,0,0,0,0,0,1
"504","E10bUZZ","E10",40,32,43,27,35.5,325688.073394495,1
"505","E10bVIV","E10",2,1,1,2,1.5,12711.8644067797,1
"506","E10bVKD.1","E10",0,0,0,0,0,0,1
"507","E10bVKF","E10",0,2,1,2,1.25,12376.2376237624,1
"508","E10bVLS","E10",0,0,0,0,0,0,1
"509","E10bVMB","E10",0,0,0,0,0,0,1
"510","E10bVMF","E10",0,0,0,0,0,0,1
"511","E10bVSN","E10",0,0,0,0,0,0,1
"512","E10bVVZ","E10",0,0,0,0,0,0,1
"513","E10bVWS","E10",0,0,0,0,0,0,1
"514","E10bVXC","E10",0,0,0,0,0,0,1
"515","E10bVXW","E10",0,0,0,0,0,0,1
"516","E10bWDE","E10",0,0,0,0,0,0,1
"517","E10bWDE.1","E10",0,0,0,0,0,0,1
"518","E10bWFI","E10",0,0,0,0,0,0,1
"519","E10bWMA","E10",0,0,0,0,0,0,1
"520","E10bWMB","E10",0,1,1,1,0.75,6880.73394495413,1
"521","E10bWPM","E10",0,0,0,0,0,0,1
"522","E10bWQO","E10",0,0,0,0,0,0,1
"523","E10bWYZ","E10",0,0,0,0,0,0,1
"524","E10bXCZ","E10",0,0,0,0,0,0,1
"525","E10bXES","E10",84,80,67,90,80.25,569148.936170213,1
"526","E10bXHF","E10",0,0,0,0,0,0,1
"527","E10bXOY","E10",19,22,23,18,20.5,117142.857142857,1
"528","E10bXTF","E10",0,0,0,0,0,0,1
"529","E10bXZZ","E10",0,0,0,0,0,0,1
"530","E10bYFC","E10",0,0,0,0,0,0,1
"531","E10bYFN","E10",0,0,0,0,0,0,1
"532","E10bYQD","E10",0,0,0,0,0,0,1
"533","E10bYSJ","E10",0,0,0,0,0,0,1
"534","E10bYXX","E10",0,0,0,0,0,0,1
"535","E10bYZU","E10",0,0,0,0,0,0,1
"536","E10bZAD","E10",0,0,0,0,0,0,1
"537","E10bZAK","E10",13,28,21,20,20.5,238372.093023256,1
"538","E10bZGP","E10",30,39,34,29,33,277310.924369748,1
"539","E10bZIH","E10",0,0,0,0,0,0,1
"540","E10bZJS","E10",0,0,0,0,0,0,1
"541","E10bZNH","E10",0,0,0,0,0,0,1
"542","E10bZQX","E10",23,18,15,12,17,170000,1
"543","E10bZXG","E10",0,0,0,0,0,0,1
"544","E10bZYB","E10",0,0,0,0,0,0,1
