"","EH_ID","dpi","batch","labels","experiment","weight","weight_dpi0","feces_weight","relative_weight","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution","primary_infection","challenge_infection","mouse_strain","delta","IFNy_CEWE","Eim_MC"
"128","LM_0338",0,"b","P3bXXI","P3",50.2,50.2,NA,100,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"129","LM_0338",1,"a","P3aTCS","P3",50.4,51.3,NA,98.2456140350877,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"130","LM_0338",1,"b","P3bRYZ","P3",49,50.2,NA,97.6095617529881,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"131","LM_0338",2,"a","P3aNJU","P3",50.4,51.3,NA,98.2456140350877,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"132","LM_0338",2,"b","P3bTEMP7","P3",49.9,50.2,NA,99.402390438247,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"133","LM_0338",3,"a","P3aUWS","P3",50.4,51.3,2.4,98.2456140350877,0,0,0,0,0,0,1,"E64","E88","NMRI",NA,NA,NA
"134","LM_0338",3,"b","P3bFVQ","P3",49.9,50.2,NA,99.402390438247,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"135","LM_0338",4,"a","P3aOMQ","P3",49.6,51.3,2.17,96.6861598440546,0,0,0,0,0,0,1,"E64","E88","NMRI",NA,NA,NA
"136","LM_0338",4,"b","P3bHET","P3",48.6,50.2,NA,99.402390438247,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"137","LM_0338",5,"a","P3aEEZ","P3",46.4,51.3,1.94,90.448343079922,30,19,31,27,26.75,275773.195876289,1,"E64","E88","NMRI",NA,NA,NA
"138","LM_0338",5,"b","P3bRPF","P3",50,50.2,NA,96.8127490039841,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"139","LM_0338",6,"a","P3aZTI","P3",45.3,51.3,0.7,88.3040935672515,18,17,16,21,18,514285.714285714,1,"E64","E88","NMRI",NA,NA,NA
"140","LM_0338",6,"b","P3bQSG","P3",49.5,50.2,NA,98.605577689243,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"141","LM_0338",7,"a","P3aDWO","P3",46.4,51.3,2.61,90.448343079922,29,24,20,18,22.75,174329.501915709,1,"E64","E88","NMRI",NA,NA,NA
"142","LM_0338",7,"b","P3bXMO","P3",49.5,50.2,1.48,98.605577689243,2,4,8,9,5.75,77702.7027027027,1,"E64","E88","NMRI",NA,NA,NA
"143","LM_0338",8,"a","P3aTBA","P3",48.8,51.3,NA,95.1267056530214,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"144","LM_0338",8,"b","P3bFWG","P3",48.3,50.2,1.5,96.2151394422311,8,5,9,10,8,106666.666666667,1,"E64","E88","NMRI",-1.65,380.523992986736,"pos"
"145","LM_0338",9,"a","P3aXUQ","P3",44.2,51.3,NA,86.1598440545809,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"146","LM_0338",10,"a","P3aHEN","P3",49.1,51.3,NA,95.7115009746589,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"147","LM_0338",11,"a","P3aPUD","P3",48.7,51.3,NA,94.9317738791423,NA,NA,NA,NA,NA,NA,NA,"E64","E88","NMRI",NA,NA,NA
"148","LM_0339",0,"a","P3aBXM","P3",49.6,49.6,NA,100,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"149","LM_0339",0,"b","P3bUUP","P3",48.5,48.5,NA,100,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"150","LM_0339",1,"a","P3aCMY","P3",48.6,49.6,NA,97.9838709677419,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"151","LM_0339",1,"b","P3bTTE","P3",47.3,48.5,NA,97.5257731958763,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"152","LM_0339",2,"a","P3aAWB","P3",45.6,49.6,NA,91.9354838709677,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"153","LM_0339",2,"b","P3bTEMP8","P3",47.4,48.5,NA,97.7319587628866,NA,NA,NA,NA,NA,NA,NA,"E64","E64","NMRI",NA,NA,NA
"154","LM_0339",3,"a","P3aHIX","P3",48.5,49.6,2.62,97.7822580645161,0,0,0,0,0,0,1,"E64","E64","NMRI",NA,NA,NA
"155","LM_0339",3,"b","P3bVEO","P3",46.3,48.5,1.73,97.7319587628866,0,0,0,0,0,0,1,"E64","E64","NMRI",NA,NA,NA
"156","LM_0339",4,"a","P3aQBP","P3",47,49.6,3.03,94.758064516129,0,0,0,0,0,0,1,"E64","E64","NMRI",NA,NA,NA
"157","LM_0339",4,"b","P3bSNM","P3",46.2,48.5,1.65,95.4639175257732,0,0,0,0,0,0,1,"E64","E64","NMRI",NA,NA,NA
