,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean
302,E10aZWW,NA,NA,NA,NA,#DIV/0!
303,E10aBQF,NA,NA,NA,NA,#DIV/0!
304,E10aZQR,NA,NA,NA,NA,#DIV/0!
305,E10aVNV,0,0,0,0,#DIV/0!
306,E10aTXB,5,2,10,7,#DIV/0!
307,E10aVIW,NA,NA,NA,NA,#DIV/0!
308,E10aSPY,NA,NA,NA,NA,#DIV/0!
309,E10aDGI,59,72,65,41,#DIV/0!
310,E10aLZO,0,1,0,0,#DIV/0!
311,E10aQWN,NA,NA,NA,NA,#DIV/0!
312,E10aNNQ,NA,NA,NA,NA,#DIV/0!
313,E10aKYA,0,0,0,0,#DIV/0!
314,E10aTDF,0,0,0,0,#DIV/0!
315,E10aZTV,0,0,0,0,#DIV/0!
316,E10aGEU,0,0,0,0,#DIV/0!
317,E10aEID,0,0,0,0,#DIV/0!
318,E10aBSE,0,0,0,0,#DIV/0!
319,E10aWCG,0,0,0,0,#DIV/0!
320,E10aUBS,0,0,0,0,#DIV/0!
321,E10aYOK,0,0,0,0,0
322,E10aNKZ,0,0,0,1,#DIV/0!
323,E10aAYM,0,0,0,0,#DIV/0!
324,E10aWGZ,NA,NA,NA,NA,#DIV/0!
325,E10aTFM,0,0,0,0,0
326,E10aAXX,1,2,0,0,#DIV/0!
327,E10aTSW,NA,NA,NA,NA,#DIV/0!
328,E10aQHA,0,0,0,0,0
329,E10aYJX,0,0,0,0,0
330,E10aFIA,0,0,0,0,0
331,E10aPSI,NA,NA,NA,NA,#DIV/0!
332,E10aVBF,2,4,3,0,#DIV/0!
333,E10aPVS,18,25,23,13,#DIV/0!
334,E10aZLC,NA,NA,NA,NA,#DIV/0!
335,E10aLZC,NA,NA,NA,NA,#DIV/0!
336,E10aEFY,NA,NA,NA,NA,#DIV/0!
337,E10aRQH,NA,NA,NA,NA,#DIV/0!
338,E10aMYB,3,3,1,5,#DIV/0!
339,E10aQDD,NA,NA,NA,NA,#DIV/0!
340,E10aZSP,NA,NA,NA,NA,#DIV/0!
341,E10aCCB,0,2,2,2,#DIV/0!
342,E10aHBV,0,0,0,0,0
343,E10aYOG,NA,NA,NA,NA,#DIV/0!
344,E10aCLH,NA,NA,NA,NA,#DIV/0!
345,E10aZVP,0,0,0,0,0
346,E10aRZO,0,0,0,0,0
347,E10aUTY,0,0,0,0,0
348,E10aMFX,0,0,0,0,0
