original.label,Exp_ID,prelim_labels,date,comment,weight,weightloss,weightRelativeToInfection,fecweight,dayFollowWeight,PIN,weightAtStart,weightlossBeforeInf,weightRelativeToStart,EH_id
8482,Exp004,31,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,24.4,NA,NA,NA,22,SY M 8482 G38 L2,25.3,0.900000000000002,96.4426877470356,LM0176
8513,Exp004,32,29-05-18,1g seeds mix in petri dish + change bedding + feces Norus,14.9,NA,NA,NA,22,SY F 8513 G43 L5,14.5,-0.4,102.758620689655,LM0154
526,Exp004,1,28-05-18,1g seeds mix in petri dish,28,NA,NA,NA,21,EX F 526 G55 P2,25.4,-2.6,110.236220472441,LM0151
9619,Exp004,2,28-05-18,1g seeds mix in petri dish,19.3,NA,NA,NA,21,SY F 9619 G60 P2,18,-1.3,107.222222222222,LM0172
8514,Exp004,3,28-05-18,1g seeds mix in petri dish,12.8,NA,NA,NA,21,SY F 8514 G43 P2,12.1,-0.700000000000001,105.785123966942,LM0153
9620,Exp004,4,28-05-18,1g seeds mix in petri dish,17.4,NA,NA,NA,21,SY F 9620 G60 P3,16.5,-0.899999999999999,105.454545454545,LM0156
9617,Exp004,5,28-05-18,1g seeds mix in petri dish,18.3,NA,NA,NA,21,SY M 9617 G60 L3,16.6,-1.7,110.240963855422,LM0178
8481,Exp004,6,28-05-18,1g seeds mix in petri dish,17,NA,NA,NA,21,SY F 8481 G37 L3,17.4,0.399999999999999,97.7011494252874,LM0152
525,Exp004,7,28-05-18,1g seeds mix in petri dish,34.3,NA,NA,NA,21,EX M 525 G55 L3,31.8,-2.5,107.861635220126,LM0161
9618,Exp004,8,28-05-18,1g seeds mix in petri dish,17.5,NA,NA,NA,21,SY F 9618 G60 L4,16.1,-1.4,108.695652173913,LM0147
8486,Exp004,9,28-05-18,1g seeds mix in petri dish,16.7,NA,NA,NA,21,SY F 8486 G38 P5,17.3,0.600000000000001,96.5317919075144,LM0162
8505,Exp004,10,28-05-18,1g seeds mix in petri dish,13.1,NA,NA,NA,21,SY M 8505 G43 P2,12.4,-0.699999999999999,105.645161290323,LM0167
8478,Exp004,11,28-05-18,1g seeds mix in petri dish,23.5,NA,NA,NA,21,SY M 8478 G37 P4,23.2,-0.300000000000001,101.293103448276,LM0164
8487,Exp004,12,28-05-18,1g seeds mix in petri dish,14.9,NA,NA,NA,21,SY M 8487 G42 L2,14.5,-0.4,102.758620689655,LM0171
9616,Exp004,13,28-05-18,1g seeds mix in petri dish,17.9,NA,NA,NA,21,SY M 9616 G60 L2,16.2,-1.7,110.493827160494,LM0148
8479,Exp004,14,28-05-18,1g seeds mix in petri dish,16.9,NA,NA,NA,21,SY F 8479 G37 P5,17.8,0.900000000000002,94.9438202247191,LM0163
9339,Exp004,15,28-05-18,1g seeds mix in petri dish,25.7,NA,NA,NA,21,SY M 9339 G56 L2,25.4,-0.300000000000001,101.181102362205,LM0157
8483,Exp004,16,28-05-18,1g seeds mix in petri dish,21.9,NA,NA,NA,21,SY M 8483 G38 L3,22.9,1,95.6331877729258,LM0170
524,Exp004,17,28-05-18,1g seeds mix in petri dish,29,NA,NA,NA,21,EX M 524 G55 L2,26.3,-2.7,110.266159695817,LM0158
144,Exp004,18,28-05-18,1g seeds mix in petri dish,15.9,NA,NA,NA,21,SX F 144 G63 L3,12.8,-3.1,124.21875,LM0173
8510,Exp004,19,28-05-18,1g seeds mix in petri dish,15.5,NA,NA,NA,21,SY M 8510 G43 L2,14.9,-0.6,104.026845637584,LM0177
8480,Exp004,20,28-05-18,1g seeds mix in petri dish,19.3,NA,NA,NA,21,SY F 8480 G37 L2,19.7,0.399999999999999,97.9695431472081,LM0146
527,Exp004,21,28-05-18,1g seeds mix in petri dish,25.8,NA,NA,NA,21,EX F 527 G55 P3,24,-1.8,107.5,LM0175
528,Exp004,22,28-05-18,1g seeds mix in petri dish,28.3,NA,NA,NA,21,EX F 528 G55 P4,25.1,-3.2,112.749003984064,LM0166
529,Exp004,23,28-05-18,1g seeds mix in petri dish,24.9,NA,NA,NA,21,EX F 529 G55 P5,23.8,-1.1,104.621848739496,LM0168
8476,Exp004,24,28-05-18,1g seeds mix in petri dish,20.6,NA,NA,NA,21,SY M 8476 G37 P2,22.4,1.8,91.9642857142857,LM0149
145,Exp004,25,28-05-18,1g seeds mix in petri dish,16.4,NA,NA,NA,21,SX F 145 G63 L4,13.5,-2.9,121.481481481481,LM0159
8515,Exp004,26,28-05-18,1g seeds mix in petri dish,12.2,NA,NA,NA,21,SY F 8515 G43 P3,10.9,-1.3,111.926605504587,LM0160
8511,Exp004,27,28-05-18,1g seeds mix in petri dish,15.2,NA,NA,NA,21,SY M 8511 G43 L3,14.9,-0.299999999999999,102.013422818792,LM0169
8613,Exp004,28,28-05-18,1g seeds mix in petri dish,18,NA,NA,NA,21,SY M 8613 G61 P3,15.7,-2.3,114.649681528662,LM0174
8477,Exp004,29,28-05-18,1g seeds mix in petri dish,17.6,NA,NA,NA,21,SY M 8477 G37 P3,20.1,2.5,87.5621890547264,LM0165
8612,Exp004,30,28-05-18,1g seeds mix in petri dish,19.8,NA,NA,NA,21,SY M 8612 G61 P2,19.2,-0.600000000000001,103125,LM0150
8482,Exp004,31,28-05-18,1g seeds mix in petri dish,23.5,NA,NA,NA,21,SY M 8482 G38 L2,25.3,1.8,92.8853754940711,LM0176
8513,Exp004,32,28-05-18,1g seeds mix in petri dish,14.6,NA,NA,NA,21,SY F 8513 G43 L5,14.5,-0.0999999999999996,100.689655172414,LM0154
526,Exp004,1,25-05-18,change bedding + 2g seeds mix,27.4,NA,NA,NA,18,EX F 526 G55 P2,25.4,-2,107.874015748032,LM0151
9619,Exp004,2,25-05-18,change bedding + 2g seeds mix,19,NA,NA,NA,18,SY F 9619 G60 P2,18,-1,105.555555555556,LM0172
8514,Exp004,3,25-05-18,change bedding + 2g seeds mix,12.4,NA,NA,NA,18,SY F 8514 G43 P2,12.1,-0.300000000000001,102.479338842975,LM0153
9620,Exp004,4,25-05-18,change bedding + 2g seeds mix,17.1,NA,NA,NA,18,SY F 9620 G60 P3,16.5,-0.600000000000001,103.636363636364,LM0156
9617,Exp004,5,25-05-18,change bedding + 2g seeds mix,18.5,NA,NA,NA,18,SY M 9617 G60 L3,16.6,-1.9,111.44578313253,LM0178
8481,Exp004,6,25-05-18,change bedding + 2g seeds mix,16.7,NA,NA,NA,18,SY F 8481 G37 L3,17.4,0.699999999999999,95.9770114942529,LM0152
525,Exp004,7,25-05-18,change bedding + 2g seeds mix,34.5,NA,NA,NA,18,EX M 525 G55 L3,31.8,-2.7,108.490566037736,LM0161
9618,Exp004,8,25-05-18,change bedding + 2g seeds mix,16.8,NA,NA,NA,18,SY F 9618 G60 L4,16.1,-0.699999999999999,104.347826086957,LM0147
8486,Exp004,9,25-05-18,change bedding + 2g seeds mix,17.1,NA,NA,NA,18,SY F 8486 G38 P5,17.3,0.199999999999999,98.8439306358381,LM0162
8505,Exp004,10,25-05-18,change bedding + 2g seeds mix,13.1,NA,NA,NA,18,SY M 8505 G43 P2,12.4,-0.699999999999999,105.645161290323,LM0167
8478,Exp004,11,25-05-18,change bedding + 2g seeds mix,23.8,NA,NA,NA,18,SY M 8478 G37 P4,23.2,-0.600000000000001,102.586206896552,LM0164
8487,Exp004,12,25-05-18,change bedding + 2g seeds mix,15.3,NA,NA,NA,18,SY M 8487 G42 L2,14.5,-0.800000000000001,105.51724137931,LM0171
