,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
406,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2NPX,5,18.75,19.07,98.32197168,2.61,0,2,0,0,E64:E88
407,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2CWZ,8,20.41,19.07,107.0267436,1.44,0,1,0,0,E64:E88
408,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2BNT,4,19.36,19.07,101.5207132,1.36,0,1,0,0,E64:E88
409,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2DUY,7,20.14,19.07,105.6109072,1.14,0,1,0,0,E64:E88
410,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2DFQ,2,19.46,19.07,102.045097,2.42,0,1,0,0,E64:E88
411,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2DKV,3,20.3,19.07,106.4499213,1.57,0,1,0,0,E64:E88
412,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2GXY,0,19.07,19.07,100,2.27,0,1,0,0,E64:E88
413,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2DGQ,1,19.47,19.07,102.0975354,2.2,0,1,0,0,E64:E88
414,LM0286,PWD_BUSNA,outbred hybrids,E64,E88,2BGI,6,20.02,19.07,104.9816466,1.74,0,1,0,0,E64:E88
415,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2EPQ,4,19.89,18.83,105.6293149,0.88,0,1,0,0,E64:E64
416,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2LMS,5,19.29,18.83,102.4429102,1.42,20,1,2e+05,140845.070422535,E64:E64
417,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2HKV,0,18.83,18.83,100,0.95,0,1,0,0,E64:E64
418,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2PRZ,8,20.85,18.83,110.7275624,1.27,0.25,1,2500,1968.50393700787,E64:E64
419,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2FLY,7,20.3,18.83,107.8066914,1.27,2.5,1,25000,19685.0393700787,E64:E64
420,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2DFL,1,19.02,18.83,101.0090281,1.46,0,1,0,0,E64:E64
421,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2ELU,2,19.96,18.83,106.0010621,1.43,0,1,0,0,E64:E64
422,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2AST,3,20.03,18.83,106.3728093,1.27,0,1,0,0,E64:E64
423,LM0287,BUSNA_PWD,outbred hybrids,E64,E64,2NPY,6,20.17,18.83,107.1163038,1.7,13.75,1,137500,80882.3529411765,E64:E64
424,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2DHV,2,20.41,19.74,103.3941236,3.54,0,2,0,0,E64:E88
425,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2FIJ,6,19.9,19.74,100.810537,1.51,0,1,0,0,E64:E88
426,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2IKT,7,19.89,19.74,100.7598784,1.49,0,1,0,0,E64:E88
427,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2AEG,3,19.93,19.74,100.9625127,1.3,0,1,0,0,E64:E88
428,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2JOZ,4,20.33,19.74,102.9888551,0.94,0,1,0,0,E64:E88
429,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2CIW,8,19.97,19.74,101.1651469,1.37,0,1,0,0,E64:E88
430,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2BCF,5,18.99,19.74,96.2006079,1.45,0,1,0,0,E64:E88
431,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2COP,0,19.74,19.74,100,2.29,0,1,0,0,E64:E88
432,LM0288,PWD_BUSNA,outbred hybrids,E64,E88,2LPW,1,19.7,19.74,99.79736575,1.9,0,1,0,0,E64:E88
433,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2CER,3,22.66,23.93,94.69285416,2.22,0,1,0,0,E64:E88
434,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2AGL,5,21.73,23.93,90.80651901,2.85,0,1,0,0,E64:E88
435,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2KQZ,2,22.84,23.93,95.44504806,1.81,0,1,0,0,E64:E88
436,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2NUW,6,22.62,23.93,94.52569996,1.8,0,1,0,0,E64:E88
437,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2PSV,8,21.93,23.93,91.64229001,2.23,0,1,0,0,E64:E88
438,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2DIP,0,23.93,23.93,100,1.61,0,1,0,0,E64:E88
439,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2IRU,4,22.44,23.93,93.77350606,2.03,0,1,0,0,E64:E88
440,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2AKL,1,23.6,23.93,98.62097785,1.75,0,1,0,0,E64:E88
441,LM0289,SCHUNT_SCHUNT,parental strains,E64,E88,2FNS,7,21.57,23.93,90.13790221,1.93,0,1,0,0,E64:E88
442,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2PVX,6,24.24,24.85,97.54527163,1.66,65,1,650000,391566.265060241,E64:E64
443,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2GIR,0,24.85,24.85,100,1.76,0,1,0,0,E64:E64
444,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2HLV,3,26.09,24.85,104.9899396,1.45,0,1,0,0,E64:E64
445,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2BQY,8,NA,24.85,NA,1.04,5.5,1,55000,52884.6153846154,E64:E64
446,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2DMZ,5,24.71,24.85,99.43661972,2.3,41.5,1,415000,180434.782608696,E64:E64
447,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2CPW,7,24.16,24.85,97.22334004,1.95,25,1,250000,128205.128205128,E64:E64
448,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2PXY,2,24.8,24.85,99.79879276,2.38,0,1,0,0,E64:E64
449,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2EMP,1,24.8,24.85,99.79879276,1.69,0,1,0,0,E64:E64
450,LM0291,PWD_BUSNA,outbred hybrids,E64,E64,2FXZ,4,25.96,24.85,104.4668008,1.03,0,1,0,0,E64:E64
451,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2SXY,4,22.3,22.15,100.6772009,1.14,0,1,0,0,E64:E88
452,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2BLW,1,21.89,22.15,98.8261851,1.26,0,1,0,0,E64:E88
453,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2EGK,0,22.15,22.15,100,1.24,0,1,0,0,E64:E88
454,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2EJO,6,22.1,22.15,99.77426637,1.24,0,1,0,0,E64:E88
455,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2SYZ,3,22.06,22.15,99.59367946,1.12,0,1,0,0,E64:E88
456,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2MOR,8,22.46,22.15,101.3995485,1.29,0,1,0,0,E64:E88
457,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2GHL,7,22.04,22.15,99.503386,1.67,0,1,0,0,E64:E88
458,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2BTV,5,20.95,22.15,94.58239278,1.41,0,1,0,0,E64:E88
459,LM0292,BUSNA_PWD,outbred hybrids,E64,E88,2EHI,2,21.63,22.15,97.6523702,2.58,0,1,0,0,E64:E88
460,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2AHT,3,20.74,20.74,100,1.35,0,1,0,0,E64:E88
461,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2ILQ,0,20.74,20.74,100,1.38,0,1,0,0,E64:E88
462,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2BNW,4,20.76,20.74,100.096432,0.81,0,1,0,0,E64:E88
463,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2AIZ,5,19.76,20.74,95.27483124,1.18,0,1,0,0,E64:E88
464,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2JNY,2,19.98,20.74,96.33558341,1.39,0,1,0,0,E64:E88
465,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2JQU,8,19.86,20.74,95.75699132,1.24,0,1,0,0,E64:E88
466,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2CFU,6,20.57,20.74,99.18032787,1.47,0,1,0,0,E64:E88
467,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2ATW,1,13.85,20.74,66.77917068,1.39,0,1,0,0,E64:E88
468,LM0293,BUSNA_BUSNA,parental strains,E64,E88,2HVX,7,20.48,20.74,98.7463838,1.34,0,1,0,0,E64:E88
469,LM0294,PWD_PWD,parental strains,E64,E64,2PQZ,7,16.65,17.02,97.82608696,1.97,29.25,1,292500,148477.157360406,E64:E64
470,LM0294,PWD_PWD,parental strains,E64,E64,2LPQ,4,17.14,17.02,100.7050529,0.54,0,1,0,0,E64:E64
471,LM0294,PWD_PWD,parental strains,E64,E64,2HKX,6,16.72,17.02,98.2373678,1,10,1,1e+05,1e+05,E64:E64
472,LM0294,PWD_PWD,parental strains,E64,E64,2NOQ,3,16.81,17.02,98.76615746,0.84,0,1,0,0,E64:E64
473,LM0294,PWD_PWD,parental strains,E64,E64,2KTZ,5,16.75,17.02,98.41363102,0.95,31.75,1,317500,334210.526315789,E64:E64
