"","EH_ID","labels","Strain","HybridStatus","primary","challenge","dpi","weight","weight_dpi0","Wchange","fecweight","oocyst_1","oocyst_2","oocyst_3","oocyst_4","average","OPG","comment","volume_PBS_mL","totalOocysts","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","Sample","cell.counting.x106.","cell_counts","ThCD4p","TcCD8p","Th1IFNgp_in_CD4p","Th17IL17Ap_in_CD4p","Tc1IFNgp_in_CD8p","Treg_Foxp3_in_CD4p","Dividing_Ki67p_in_Foxp3p","RORgtp_in_Foxp3p","Th1Tbetp_in_CD4pFoxp3n","Dividing_Ki67p_in_Tbetp","Th17RORgp_in_CD4pFoxp3n","Dividing_Ki67p_in_RORgtp","Position","ThCD4p.cells","TcCD8p.cells","Th1IFNgp_in_CD4p.cells","Th17IL17Ap_in_CD4p.cells","Treg_Foxp3_in_CD4p.cells","Tc1IFNgp_in_CD8p.cells","RORgtp_in_Foxp3p.cells","Dividing_Ki67p_in_Foxp3p.cells","Dividing_Ki67p_in_RORgtp.cells","ThCD4p_Foxp3n","ThCD4p_Foxp3n.cells","Th1Tbetp_in_CD4pFoxp3n.cells","Th17RORgp_in_CD4pFoxp3n.cells","Dividing_Ki67p_in_Tbetp.cells"
"93","LM_0286","E7bCWZ","PWD_BUSNA","outbred hybrids","E64","E88",8,20.41,19.07,107.0267436,1.44,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-9.21,-6.12,-1.42,-4.235,"19: Anterior LN_86_045.fcs",0.81,810000,54.68,11.8,2.56,0.54,24.28,6.03,11.33,4.65,2.14,23.74,1.09,31.11,"Anterior",442908,95580,11338.4448,2391.7032,26707.3524,23206.824,1241.8918866,140.70635075178,386.35256592126,90.87,442901.97,9478.102158,4827.631473,2250.1014523092
"94","LM_0286","E7bCWZ","PWD_BUSNA","outbred hybrids","E64","E88",8,20.41,19.07,107.0267436,1.44,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-9.21,-6.12,-1.42,-4.235,"45: Posterior LN_86_020.fcs",1.6,1600000,46.89,28.72,1.73,2.17,4.33,9.64,33.44,5.4,3.19,73.74,0.73,39.39,"Posterior",750240,459520,12979.152,16280.208,72323.136,19897.216,3905.449344,1305.9822606336,1538.3564966016,86.46,750230.36,23932.348484,5476.681628,17647.7137721016
"95","LM_0287","E7bPRZ","BUSNA_PWD","outbred hybrids","E64","E64",8,20.85,18.83,110.7275624,1.27,0,0,0,1,0.25,1968.50393700787,"",1,2500,"E64:E64",NA,NA,"pos",-6.34,7.7525,19.7025,NA,"20: Anterior LN_87_034.fcs",1,1000000,58.89,15.36,4.19,0.27,23.75,5.76,8.08,6.1,3.15,36.84,0.68,17.56,"Anterior",588900,153600,24674.91,1590.03,33920.64,36480,2069.15904,167.188050432,363.344327424,89.78,588894.24,18550.16856,4004.480832,6833.882097504
"96","LM_0287","E7bPRZ","BUSNA_PWD","outbred hybrids","E64","E64",8,20.85,18.83,110.7275624,1.27,0,0,0,1,0.25,1968.50393700787,"",1,2500,"E64:E64",NA,NA,"pos",-6.34,7.7525,19.7025,NA,"46: Posterior LN_87_009.fcs",3.6,3600000,56.3,35.15,0.44,0.63,4.15,8.25,9.79,4.3,1.89,15.6,0.67,24,"Posterior",2026800,1265400,8917.92,12768.84,167211,52514.1,7190.073,703.9081467,1725.61752,90.68,2026791.75,38306.364075,13579.504725,5975.7927957
"97","LM_0288","E7bCIW","PWD_BUSNA","outbred hybrids","E64","E88",8,19.97,19.74,101.1651469,1.37,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-8.79,-10.505,-5.495,-8.07,"21: Anterior LN_88_047.fcs",1.8,1800000,51.43,32.29,0.82,0.43,10.89,9.69,14.8,3.45,3.86,74.91,0.96,39.34,"Anterior",925740,581220,7591.068,3980.682,89704.206,63294.858,3094.795107,458.029675836,1217.4923950938,89.06,925730.31,35733.189966,8887.010976,26767.7326035306
"98","LM_0288","E7bCIW","PWD_BUSNA","outbred hybrids","E64","E88",8,19.97,19.74,101.1651469,1.37,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-8.79,-10.505,-5.495,-8.07,"47: Posterior LN_88_022.fcs",1.2,1200000,49.96,34.84,1.02,0.83,7.85,8.7,23.7,5.62,4.38,67.68,1.24,50.27,"Posterior",599520,418080,6115.104,4976.016,52158.24,32819.28,2931.293088,694.716461856,1473.5610353376,89.45,599511.3,26258.59494,7433.94012,17771.817055392
"99","LM_0289","E7bPSV","SCHUNT_SCHUNT","parental strains","E64","E88",8,21.93,23.93,91.64229001,2.23,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-9.18,-9.55,-3.315,-7.37,"22: Anterior LN_89_048.fcs",1,1000000,48.13,11.52,2,0.34,22.61,7.27,11.06,6.2,3.86,53.18,1.06,22.7,"Anterior",481300,115200,9626,1636.42,34990.51,26046.72,2169.41162,239.936925172,492.45643774,90.39,481292.73,18577.899378,5101.702938,9879.7268892204
"100","LM_0289","E7bPSV","SCHUNT_SCHUNT","parental strains","E64","E88",8,21.93,23.93,91.64229001,2.23,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-9.18,-9.55,-3.315,-7.37,"48: Posterior LN_89_023.fcs",1.8,1800000,55.69,32.41,0.48,0.49,4.85,6.73,14.48,5.56,1.67,30.28,0.56,22.93,"Posterior",1002420,583380,4811.616,4911.858,67462.866,28293.93,3750.9353496,543.13543862208,860.08947566328,92.3,1002413.27,16740.301609,5613.514312,5068.9633272052
"101","LM_0291","E7bBQY","PWD_BUSNA","outbred hybrids","E64","E64",8,NA,24.85,NA,1.04,2,9,9,2,5.5,52884.6153846154,"",1,55000,"E64:E64",NA,NA,"pos",1.21,NA,NA,NA,"23: Anterior LN_91_035.fcs",6.2,6200000,42.14,23.03,2.31,0.3,17.56,10.7,8.83,4.33,2.08,26.73,0.66,16.83,"Anterior",2612680,1427860,60352.908,7838.04,279556.76,250732.216,12104.807708,1068.8545206164,2037.2391372564,86.69,2612669.3,54343.52144,17243.61738,14526.023280912
"102","LM_0291","E7bBQY","PWD_BUSNA","outbred hybrids","E64","E64",8,NA,24.85,NA,1.04,2,9,9,2,5.5,52884.6153846154,"",1,55000,"E64:E64",NA,NA,"pos",1.21,NA,NA,NA,"49: Posterior LN_91_010.fcs",0.5,500000,69.68,14.66,0.61,0.2,10.71,2.68,19.81,13.05,1.93,16.85,0.82,11.11,"Posterior",348400,73300,2125.24,696.8,9337.12,7850.43,1218.49416,241.383693096,135.374701176,96.51,348397.32,6724.068276,2856.858024,1133.005504506
"103","LM_0292","E7bMOR","BUSNA_PWD","outbred hybrids","E64","E88",8,22.46,22.15,101.3995485,1.29,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-7.97,NA,NA,NA,"24: Anterior LN_92_044.fcs",2.7,2700000,50.57,26.83,0.97,0.57,19.62,11.21,10.14,3.36,1.83,25,1.36,32.29,"Anterior",1365390,724410,13244.283,7782.723,153060.219,142129.242,5142.8233584,521.48228854176,1660.61766242736,87.25,1365378.79,24986.431857,18569.151544,6246.60796425
"104","LM_0292","E7bMOR","BUSNA_PWD","outbred hybrids","E64","E88",8,22.46,22.15,101.3995485,1.29,0,0,0,0,0,0,"",1,0,"E64:E88",NA,NA,"neg",-7.97,NA,NA,NA,"50: Posterior LN_92_019.fcs",1.8,1800000,38.87,34.45,3.46,1.19,6.11,8.89,28.8,8.8,9,67.83,1.17,46.67,"Posterior",699660,620100,24208.236,8325.954,62199.774,37888.11,5473.580112,1576.391072256,2554.5198382704,86.46,699651.11,62968.5999,8185.917987,42711.60131217
"105","LM_0294","E7bFLN","PWD_PWD","parental strains","E64","E64",8,16.67,17.02,97.94359577,1,1,4,4,6,3.75,37500,"",1,37500,"E64:E64",NA,NA,"pos",11.61,-10.5775,-3.1975,-5.0975,"51: Posterior LN_94_013.fcs",2.6,2600000,56.09,27,0.59,0.54,5.49,6.42,17.16,8.35,1.66,27.81,0.86,29.38,"Posterior",1458340,702000,8604.206,7875.036,93625.428,38539.8,7817.723238,1341.5213076408,2296.8470873244,92.45,1458333.58,24208.337428,12541.668788,6732.3386387268
"106","LM_0294","E7bFLN","PWD_PWD","parental strains","E64","E64",8,16.67,17.02,97.94359577,1,1,4,4,6,3.75,37500,"",1,37500,"E64:E64",NA,NA,"pos",11.61,-10.5775,-3.1975,-5.0975,"26: Anterior LN_94_038.fcs",3.4,3400000,65.84,13.12,1.24,0.46,11.23,4.33,9.92,8.61,2.11,13.33,1.23,18.23,"Anterior",2238560,446080,27758.144,10297.376,96929.648,50094.784,8345.6426928,827.88775512576,1521.41066289744,93.97,2238555.67,47233.524637,27534.234741,6296.2288341121
