"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","weight","weight_dpi0","Wchange","HybridStatus","Strain","EXP"
"1019",NA,NA,NA,3,"LM_0213",NA,0.93,NA,NA,NA,NA,NA,"5.1bDJW",0,"E64",15.95,15.39,96.4890282131662,"parental strains","PWD_PWD","5.1b"
"1020",NA,NA,NA,10,"LM_0213",NA,0.56,NA,NA,NA,NA,NA,"5.1bTUW",0,"E64",15.75,15.39,97.7142857142857,"parental strains","PWD_PWD","5.1b"
"1021",NA,NA,NA,7,"LM_0213",NA,0.84,NA,NA,NA,NA,NA,"5.1bDMY",770833.333333333,"E64",15.43,15.39,99.7407647440052,"parental strains","PWD_PWD","5.1b"
"1022",NA,NA,NA,8,"LM_0213",NA,0.98,NA,NA,NA,NA,NA,"5.1bNST",38265.306122449,"E64",16.57,15.39,92.8786964393482,"parental strains","PWD_PWD","5.1b"
"1023",NA,NA,NA,9,"LM_0213",NA,0.92,NA,NA,NA,NA,NA,"5.1bDRT",62500,"E64",16.67,15.39,92.3215356928614,"parental strains","PWD_PWD","5.1b"
"1024",NA,NA,NA,4,"LM_0213",NA,0.86,NA,NA,NA,NA,NA,"5.1bCGQ",11627.9069767442,"E64",14.74,15.39,104.409769335142,"parental strains","PWD_PWD","5.1b"
"1025",NA,NA,NA,0,"LM_0213",NA,1.4,NA,NA,NA,NA,NA,"5.1bFHV",0,"E64",15.39,15.39,100,"parental strains","PWD_PWD","5.1b"
"1026",NA,NA,NA,1,"LM_0213",NA,NA,NA,NA,NA,NA,NA,"5.1bORX",NA,"E64",15.33,15.39,100.391389432485,"parental strains","PWD_PWD","5.1b"
"1027",NA,NA,NA,5,"LM_0213",NA,0.23,NA,NA,NA,NA,NA,"5.1bDPZ",184782.608695652,"E64",13.47,15.39,114.253897550111,"parental strains","PWD_PWD","5.1b"
"1028",NA,NA,NA,2,"LM_0213",NA,NA,NA,NA,NA,NA,NA,"5.1bCFO",NA,"E64",15.58,15.39,98.780487804878,"parental strains","PWD_PWD","5.1b"
"1029",NA,NA,NA,8,"LM_0214",NA,1.67,NA,NA,NA,NA,NA,"5.1bNXZ",62874.251497006,"E64",26.88,27.43,102.046130952381,"parental strains","STRA_STRA","5.1b"
"1030",NA,NA,NA,7,"LM_0214",NA,2.39,NA,NA,NA,NA,NA,"5.1bEUV",456066.945606695,"E64",24.93,27.43,110.028078620136,"parental strains","STRA_STRA","5.1b"
"1031",NA,NA,NA,4,"LM_0214",NA,2.14,NA,NA,NA,NA,NA,"5.1bPRY",0,"E64",26.54,27.43,103.353428786737,"parental strains","STRA_STRA","5.1b"
"1032",NA,NA,NA,0,"LM_0214",NA,1.12,NA,NA,NA,NA,NA,"5.1bDES",0,"E64",27.43,27.43,100,"parental strains","STRA_STRA","5.1b"
"1033",NA,NA,NA,9,"LM_0214",NA,1.27,NA,NA,NA,NA,NA,"5.1bCEY",94488.1889763779,"E64",28.05,27.43,97.7896613190731,"parental strains","STRA_STRA","5.1b"
"1034",NA,NA,NA,1,"LM_0214",NA,NA,NA,NA,NA,NA,NA,"5.1bFLM",NA,"E64",27.03,27.43,101.479837217906,"parental strains","STRA_STRA","5.1b"
"1035",NA,NA,NA,3,"LM_0214",NA,1.73,NA,NA,NA,NA,NA,"5.1bKPT",0,"E64",28.3,27.43,96.9257950530035,"parental strains","STRA_STRA","5.1b"
"1036",NA,NA,NA,5,"LM_0214",NA,0.92,NA,NA,NA,NA,NA,"5.1bDLQ",2717.39130434783,"E64",25.41,27.43,107.949626131444,"parental strains","STRA_STRA","5.1b"
"1037",NA,NA,NA,10,"LM_0214",NA,1.15,NA,NA,NA,NA,NA,"5.1bEIJ",4347.82608695652,"E64",28.34,27.43,96.7889908256881,"parental strains","STRA_STRA","5.1b"
"1038",NA,NA,NA,2,"LM_0214",NA,NA,NA,NA,NA,NA,NA,"5.1bADQ",NA,"E64",27.31,27.43,100.439399487367,"parental strains","STRA_STRA","5.1b"
"1039",NA,NA,NA,6,"LM_0214",NA,0.29,NA,NA,NA,NA,NA,"5.1bOTZ",1370689.65517241,"E64",24.34,27.43,112.695152013147,"parental strains","STRA_STRA","5.1b"
"1040",NA,NA,NA,1,"LM_0215",NA,NA,NA,NA,NA,NA,NA,"5.1bGMN",NA,"E64",23.94,23.9,99.8329156223893,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1041",NA,NA,NA,10,"LM_0215",NA,0.96,NA,NA,NA,NA,NA,"5.1bKQY",0,"E64",25.05,23.9,95.4091816367265,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1042",NA,NA,NA,2,"LM_0215",NA,NA,NA,NA,NA,NA,NA,"5.1bPRZ",NA,"E64",24.17,23.9,98.8829127016963,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1043",NA,NA,NA,8,"LM_0215",NA,1.52,NA,NA,NA,NA,NA,"5.1bKNW",34539.4736842105,"E64",24.82,23.9,96.2933118452861,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1044",NA,NA,NA,3,"LM_0215",NA,1.84,NA,NA,NA,NA,NA,"5.1bDGQ",0,"E64",24.29,23.9,98.3944009880609,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1045",NA,NA,NA,0,"LM_0215",NA,1.73,NA,NA,NA,NA,NA,"5.1bELT",0,"E64",23.9,23.9,100,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1046",NA,NA,NA,4,"LM_0215",NA,1.76,NA,NA,NA,NA,NA,"5.1bEWX",17045.4545454545,"E64",22.96,23.9,104.094076655052,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1047",NA,NA,NA,5,"LM_0215",NA,0.7,NA,NA,NA,NA,NA,"5.1bCPS",53571.4285714286,"E64",22.3,23.9,107.174887892377,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1048",NA,NA,NA,9,"LM_0215",NA,1.47,NA,NA,NA,NA,NA,"5.1bEQZ",0,"E64",25.25,23.9,94.6534653465346,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1049",NA,NA,NA,7,"LM_0215",NA,1.29,NA,NA,NA,NA,NA,"5.1bENO",234496.124031008,"E64",25.42,23.9,94.0204563335956,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1050",NA,NA,NA,6,"LM_0215",NA,1.32,NA,NA,NA,NA,NA,"5.1bGMX",2151515.15151515,"E64",23.61,23.9,101.228293096146,"inter subsp. hybrids","BUSNA_STRA","5.1b"
"1051",NA,NA,NA,5,"LM_0216",NA,0.39,NA,NA,NA,NA,NA,"5.1bBDV",288461.538461538,"E64",15.06,18.37,121.978751660027,"parental strains","BUSNA_BUSNA","5.1b"
"1052",NA,NA,NA,3,"LM_0216",NA,1.16,NA,NA,NA,NA,NA,"5.1bJMW",0,"E64",16.84,18.37,109.085510688836,"parental strains","BUSNA_BUSNA","5.1b"
"1053",NA,NA,NA,1,"LM_0216",NA,NA,NA,NA,NA,NA,NA,"5.1bSVY",NA,"E64",17.12,18.37,107.301401869159,"parental strains","BUSNA_BUSNA","5.1b"
"1054",NA,NA,NA,8,"LM_0216",NA,1.62,NA,NA,NA,NA,NA,"5.1bALW",0,"E64",17.04,18.37,107.805164319249,"parental strains","BUSNA_BUSNA","5.1b"
"1055",NA,NA,NA,7,"LM_0216",NA,1.85,NA,NA,NA,NA,NA,"5.1bJOW",140540.540540541,"E64",17.88,18.37,102.740492170022,"parental strains","BUSNA_BUSNA","5.1b"
"1056",NA,NA,NA,4,"LM_0216",NA,1.05,NA,NA,NA,NA,NA,"5.1bGIQ",4761.90476190476,"E64",16.29,18.37,112.768569674647,"parental strains","BUSNA_BUSNA","5.1b"
"1057",NA,NA,NA,2,"LM_0216",NA,NA,NA,NA,NA,NA,NA,"5.1bABJ",NA,"E64",16.49,18.37,111.400848999394,"parental strains","BUSNA_BUSNA","5.1b"
"1058",NA,NA,NA,6,"LM_0216",NA,1.26,NA,NA,NA,NA,NA,"5.1bBFX",1680555.55555556,"E64",16.92,18.37,108.569739952719,"parental strains","BUSNA_BUSNA","5.1b"
"1059",NA,NA,NA,0,"LM_0216",NA,1.26,NA,NA,NA,NA,NA,"5.1bNSU",0,"E64",18.37,18.37,100,"parental strains","BUSNA_BUSNA","5.1b"
"1060",NA,NA,NA,10,"LM_0216",NA,0.93,NA,NA,NA,NA,NA,"5.1bAMT",5376.34408602151,"E64",17.79,18.37,103.260258572232,"parental strains","BUSNA_BUSNA","5.1b"
"1061",NA,NA,NA,9,"LM_0216",NA,0.74,NA,NA,NA,NA,NA,"5.1bNVW",10135.1351351351,"E64",17.65,18.37,104.079320113314,"parental strains","BUSNA_BUSNA","5.1b"
"1062",NA,NA,NA,6,"LM_0217",NA,1.31,NA,NA,NA,NA,NA,"5.1bDFN",1585877.86259542,"E64",17.4,17.74,101.954022988506,"parental strains","BUSNA_BUSNA","5.1b"
"1063",NA,NA,NA,1,"LM_0217",NA,NA,NA,NA,NA,NA,NA,"5.1bOTY",NA,"E64",17.54,17.74,101.140250855188,"parental strains","BUSNA_BUSNA","5.1b"
"1064",NA,NA,NA,9,"LM_0217",NA,1.52,NA,NA,NA,NA,NA,"5.1bOVW",4934.21052631579,"E64",18.82,17.74,94.2614240170032,"parental strains","BUSNA_BUSNA","5.1b"
"1065",NA,NA,NA,4,"LM_0217",NA,0.93,NA,NA,NA,NA,NA,"5.1bMXY",5376.34408602151,"E64",16.77,17.74,105.784138342278,"parental strains","BUSNA_BUSNA","5.1b"
"1066",NA,NA,NA,8,"LM_0217",NA,1.03,NA,NA,NA,NA,NA,"5.1bLPV",7281.55339805825,"E64",18.32,17.74,96.8340611353712,"parental strains","BUSNA_BUSNA","5.1b"
"1067",NA,NA,NA,5,"LM_0217",NA,0.39,NA,NA,NA,NA,NA,"5.1bMQY",557692.307692308,"E64",16.9,17.74,104.970414201183,"parental strains","BUSNA_BUSNA","5.1b"
"1068",NA,NA,NA,10,"LM_0217",NA,1.18,NA,NA,NA,NA,NA,"5.1bHMZ",0,"E64",19.45,17.74,91.2082262210797,"parental strains","BUSNA_BUSNA","5.1b"
"1069",NA,NA,NA,7,"LM_0217",NA,1.19,NA,NA,NA,NA,NA,"5.1bOPW",252100.840336134,"E64",18.44,17.74,96.2039045553145,"parental strains","BUSNA_BUSNA","5.1b"
"1070",NA,NA,NA,3,"LM_0217",NA,1.2,NA,NA,NA,NA,NA,"5.1bCDS",0,"E64",17.41,17.74,101.895462377944,"parental strains","BUSNA_BUSNA","5.1b"
"1071",NA,NA,NA,0,"LM_0217",NA,1.3,NA,NA,NA,NA,NA,"5.1bFKY",0,"E64",17.74,17.74,100,"parental strains","BUSNA_BUSNA","5.1b"
"1072",NA,NA,NA,2,"LM_0217",NA,NA,NA,NA,NA,NA,NA,"5.1bCEV",NA,"E64",17.49,17.74,101.429388221841,"parental strains","BUSNA_BUSNA","5.1b"
"1073",NA,NA,NA,6,"LM_0218",NA,1.18,NA,NA,NA,NA,NA,"5.1bINU",207627.118644068,"E64",20.12,20.36,101.192842942346,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1074",NA,NA,NA,9,"LM_0218",NA,1.17,NA,NA,NA,NA,NA,"5.1bAJX",0,"E64",20.4,20.36,99.8039215686275,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1075",NA,NA,NA,7,"LM_0218",NA,1.78,NA,NA,NA,NA,NA,"5.1bAKV",214887.640449438,"E64",20.83,20.36,97.7436389822372,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1076",NA,NA,NA,1,"LM_0218",NA,NA,NA,NA,NA,NA,NA,"5.1bEFV",NA,"E64",20.44,20.36,99.6086105675147,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1077",NA,NA,NA,8,"LM_0218",NA,1.57,NA,NA,NA,NA,NA,"5.1bAEL",44585.9872611465,"E64",20.95,20.36,97.1837708830549,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1078",NA,NA,NA,3,"LM_0218",NA,1.74,NA,NA,NA,NA,NA,"5.1bCGX",0,"E64",20.2,20.36,100.792079207921,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1079",NA,NA,NA,5,"LM_0218",NA,0.72,NA,NA,NA,NA,NA,"5.1bBOS",197916.666666667,"E64",19.9,20.36,102.311557788945,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1080",NA,NA,NA,4,"LM_0218",NA,1.57,NA,NA,NA,NA,NA,"5.1bMUW",3184.71337579618,"E64",20.6,20.36,98.8349514563107,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1081",NA,NA,NA,10,"LM_0218",NA,1.28,NA,NA,NA,NA,NA,"5.1bGKS",5859.375,"E64",20.92,20.36,97.3231357552581,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1082",NA,NA,NA,0,"LM_0218",NA,1.32,NA,NA,NA,NA,NA,"5.1bJLZ",0,"E64",20.36,20.36,100,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1083",NA,NA,NA,2,"LM_0218",NA,NA,NA,NA,NA,NA,NA,"5.1bAOQ",NA,"E64",20.75,20.36,98.1204819277108,"inter subsp. hybrids","PWD_SCHUNT","5.1b"
"1084",NA,NA,NA,5,"LM_0219",NA,0.7,NA,NA,NA,NA,NA,"5.1bCER",14285.7142857143,"E64",19.03,19,99.8423541776143,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1085",NA,NA,NA,9,"LM_0219",NA,1.11,NA,NA,NA,NA,NA,"5.1bCDZ",2252.25225225225,"E64",20.66,19,91.9651500484027,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1086",NA,NA,NA,1,"LM_0219",NA,NA,NA,NA,NA,NA,NA,"5.1bALS",NA,"E64",20.11,19,94.4803580308304,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1087",NA,NA,NA,8,"LM_0219",NA,1.35,NA,NA,NA,NA,NA,"5.1bTUX",14814.8148148148,"E64",20.71,19,91.743119266055,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1088",NA,NA,NA,10,"LM_0219",NA,1.78,NA,NA,NA,NA,NA,"5.1bDFV",0,"E64",19.4,19,97.9381443298969,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1089",NA,NA,NA,0,"LM_0219",NA,1.67,NA,NA,NA,NA,NA,"5.1bCHN",0,"E64",19,19,100,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1090",NA,NA,NA,4,"LM_0219",NA,1.57,NA,NA,NA,NA,NA,"5.1bOXY",0,"E64",19.49,19,97.4858902001026,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1091",NA,NA,NA,2,"LM_0219",NA,NA,NA,NA,NA,NA,NA,"5.1bACQ",NA,"E64",20.39,19,93.1829328102011,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1092",NA,NA,NA,7,"LM_0219",NA,1.64,NA,NA,NA,NA,NA,"5.1bEJL",318597.56097561,"E64",20.45,19,92.9095354523227,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1093",NA,NA,NA,3,"LM_0219",NA,1.65,NA,NA,NA,NA,NA,"5.1bABG",0,"E64",19.05,19,99.7375328083989,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1094",NA,NA,NA,6,"LM_0219",NA,1.48,NA,NA,NA,NA,NA,"5.1bCGL",1675675.67567568,"E64",20.11,19,94.4803580308304,"inter subsp. hybrids","SCHUNT_PWD","5.1b"
"1095",NA,NA,NA,8,"LM_0220",NA,1.44,NA,NA,NA,NA,NA,"5.1bMRU",39062.5,"E64",19.69,19.72,100.152361604876,"outbred hybrids","BUSNA_PWD","5.1b"
"1096",NA,NA,NA,9,"LM_0220",NA,1.16,NA,NA,NA,NA,NA,"5.1bCEJ",6465.51724137931,"E64",19.66,19.72,100.30518819939,"outbred hybrids","BUSNA_PWD","5.1b"
"1097",NA,NA,NA,4,"LM_0220",NA,1.23,NA,NA,NA,NA,NA,"5.1bBDM",6097.56097560976,"E64",19.38,19.72,101.754385964912,"outbred hybrids","BUSNA_PWD","5.1b"
"1098",NA,NA,NA,6,"LM_0220",NA,1.21,NA,NA,NA,NA,NA,"5.1bAKR",2380165.2892562,"E64",19.2,19.72,102.708333333333,"outbred hybrids","BUSNA_PWD","5.1b"
"1099",NA,NA,NA,2,"LM_0220",NA,NA,NA,NA,NA,NA,NA,"5.1bEPS",NA,"E64",20.31,19.72,97.095027080256,"outbred hybrids","BUSNA_PWD","5.1b"
"1100",NA,NA,NA,0,"LM_0220",NA,1.41,NA,NA,NA,NA,NA,"5.1bAGO",0,"E64",19.72,19.72,100,"outbred hybrids","BUSNA_PWD","5.1b"
"1101",NA,NA,NA,7,"LM_0220",NA,1.02,NA,NA,NA,NA,NA,"5.1bBLW",343137.254901961,"E64",19.1,19.72,103.246073298429,"outbred hybrids","BUSNA_PWD","5.1b"
"1102",NA,NA,NA,10,"LM_0220",NA,0.9,NA,NA,NA,NA,NA,"5.1bBQS",13888.8888888889,"E64",19.72,19.72,100,"outbred hybrids","BUSNA_PWD","5.1b"
"1103",NA,NA,NA,3,"LM_0220",NA,1.4,NA,NA,NA,NA,NA,"5.1bCIM",0,"E64",19,19.72,103.789473684211,"outbred hybrids","BUSNA_PWD","5.1b"
"1104",NA,NA,NA,5,"LM_0220",NA,0.74,NA,NA,NA,NA,NA,"5.1bDFL",297297.297297297,"E64",18.19,19.72,108.411214953271,"outbred hybrids","BUSNA_PWD","5.1b"
"1105",NA,NA,NA,1,"LM_0220",NA,NA,NA,NA,NA,NA,NA,"5.1bDGN",NA,"E64",19.99,19.72,98.6493246623312,"outbred hybrids","BUSNA_PWD","5.1b"
"1106",NA,NA,NA,8,"LM_0221",NA,1.45,NA,NA,NA,NA,NA,"5.1bBFN",22413.7931034483,"E64",18.63,19.73,105.904455179818,"parental strains","SCHUNT_SCHUNT","5.1b"
"1107",NA,NA,NA,3,"LM_0221",NA,1.05,NA,NA,NA,NA,NA,"5.1bAQR",0,"E64",19.16,19.73,102.974947807933,"parental strains","SCHUNT_SCHUNT","5.1b"
"1108",NA,NA,NA,1,"LM_0221",NA,NA,NA,NA,NA,NA,NA,"5.1bOTW",NA,"E64",19.58,19.73,100.76608784474,"parental strains","SCHUNT_SCHUNT","5.1b"
"1109",NA,NA,NA,4,"LM_0221",NA,1.3,NA,NA,NA,NA,NA,"5.1bPQU",0,"E64",19.9,19.73,99.1457286432161,"parental strains","SCHUNT_SCHUNT","5.1b"
"1110",NA,NA,NA,6,"LM_0221",NA,0.9,NA,NA,NA,NA,NA,"5.1bHOZ",230555.555555556,"E64",18.45,19.73,106.937669376694,"parental strains","SCHUNT_SCHUNT","5.1b"
"1111",NA,NA,NA,2,"LM_0221",NA,NA,NA,NA,NA,NA,NA,"5.1bDEI",NA,"E64",20.02,19.73,98.5514485514485,"parental strains","SCHUNT_SCHUNT","5.1b"
"1112",NA,NA,NA,0,"LM_0221",NA,1.54,NA,NA,NA,NA,NA,"5.1bFQS",0,"E64",19.73,19.73,100,"parental strains","SCHUNT_SCHUNT","5.1b"
"1113",NA,NA,NA,10,"LM_0221",NA,1.06,NA,NA,NA,NA,NA,"5.1bKNV",0,"E64",18.72,19.73,105.395299145299,"parental strains","SCHUNT_SCHUNT","5.1b"
"1114",NA,NA,NA,9,"LM_0221",NA,1.04,NA,NA,NA,NA,NA,"5.1bLTV",16826.9230769231,"E64",18.4,19.73,107.228260869565,"parental strains","SCHUNT_SCHUNT","5.1b"
"1115",NA,NA,NA,5,"LM_0221",NA,0.48,NA,NA,NA,NA,NA,"5.1bQUX",98958.3333333333,"E64",18.85,19.73,104.668435013263,"parental strains","SCHUNT_SCHUNT","5.1b"
"1116",NA,NA,NA,7,"LM_0221",NA,1.3,NA,NA,NA,NA,NA,"5.1bGTU",553846.153846154,"E64",18.91,19.73,104.336329984135,"parental strains","SCHUNT_SCHUNT","5.1b"
"1117",NA,NA,NA,10,"LM_0222",NA,1.1,NA,NA,NA,NA,NA,"5.1bBQX",0,"E64",23.87,23.99,100.502723083368,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1118",NA,NA,NA,2,"LM_0222",NA,NA,NA,NA,NA,NA,NA,"5.1bDGM",NA,"E64",23.83,23.99,100.671422576584,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1119",NA,NA,NA,6,"LM_0222",NA,0.87,NA,NA,NA,NA,NA,"5.1bAKQ",264367.816091954,"E64",21.38,23.99,112.207670720299,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1120",NA,NA,NA,7,"LM_0222",NA,1.27,NA,NA,NA,NA,NA,"5.1bHJN",1238188.97637795,"E64",21.91,23.99,109.493382017344,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1121",NA,NA,NA,8,"LM_0222",NA,1.5,NA,NA,NA,NA,NA,"5.1bFVX",110000,"E64",23.38,23.99,102.609067579127,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1122",NA,NA,NA,1,"LM_0222",NA,NA,NA,NA,NA,NA,NA,"5.1bPQV",NA,"E64",23.86,23.99,100.544844928751,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1123",NA,NA,NA,5,"LM_0222",NA,0.54,NA,NA,NA,NA,NA,"5.1bFIU",55555.5555555556,"E64",21.62,23.99,110.962072155412,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1124",NA,NA,NA,9,"LM_0222",NA,1.36,NA,NA,NA,NA,NA,"5.1bJMZ",49632.3529411765,"E64",23.71,23.99,101.180936313792,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1125",NA,NA,NA,0,"LM_0222",NA,2.47,NA,NA,NA,NA,NA,"5.1bCRW",0,"E64",23.99,23.99,100,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1126",NA,NA,NA,3,"LM_0222",NA,1.3,NA,NA,NA,NA,NA,"5.1bBIN",0,"E64",22.48,23.99,106.717081850534,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1127",NA,NA,NA,4,"LM_0222",NA,0.92,NA,NA,NA,NA,NA,"5.1bIJU",5434.78260869565,"E64",22.35,23.99,107.337807606264,"inter subsp. hybrids","STRA_BUSNA","5.1b"
"1128",NA,NA,NA,8,"LM_0223",NA,0.95,NA,NA,NA,NA,NA,"5.1bALQ",5263.15789473684,"E64",21.24,20.73,97.5988700564972,"parental strains","SCHUNT_SCHUNT","5.1b"
"1129",NA,NA,NA,1,"LM_0223",NA,NA,NA,NA,NA,NA,NA,"5.1bKOQ",NA,"E64",21.41,20.73,96.823914058851,"parental strains","SCHUNT_SCHUNT","5.1b"
"1130",NA,NA,NA,2,"LM_0223",NA,NA,NA,NA,NA,NA,NA,"5.1bAGM",NA,"E64",21.77,20.73,95.222783647221,"parental strains","SCHUNT_SCHUNT","5.1b"
"1131",NA,NA,NA,5,"LM_0223",NA,0.65,NA,NA,NA,NA,NA,"5.1bAIR",53846.1538461538,"E64",21.4,20.73,96.8691588785047,"parental strains","SCHUNT_SCHUNT","5.1b"
"1132",NA,NA,NA,7,"LM_0223",NA,1.42,NA,NA,NA,NA,NA,"5.1bJLW",109154.929577465,"E64",21.9,20.73,94.6575342465754,"parental strains","SCHUNT_SCHUNT","5.1b"
"1133",NA,NA,NA,4,"LM_0223",NA,1.1,NA,NA,NA,NA,NA,"5.1bFGK",9090.90909090909,"E64",21.42,20.73,96.7787114845938,"parental strains","SCHUNT_SCHUNT","5.1b"
"1134",NA,NA,NA,9,"LM_0223",NA,0.78,NA,NA,NA,NA,NA,"5.1bQVW",0,"E64",22.06,20.73,93.9709882139619,"parental strains","SCHUNT_SCHUNT","5.1b"
"1135",NA,NA,NA,10,"LM_0223",NA,0.93,NA,NA,NA,NA,NA,"5.1bUXY",8064.51612903226,"E64",22.28,20.73,93.0430879712747,"parental strains","SCHUNT_SCHUNT","5.1b"
"1136",NA,NA,NA,3,"LM_0223",NA,1.13,NA,NA,NA,NA,NA,"5.1bAOU",0,"E64",20.46,20.73,101.319648093842,"parental strains","SCHUNT_SCHUNT","5.1b"
"1137",NA,NA,NA,0,"LM_0223",NA,2.44,NA,NA,NA,NA,NA,"5.1bRXY",0,"E64",20.73,20.73,100,"parental strains","SCHUNT_SCHUNT","5.1b"
"1138",NA,NA,NA,6,"LM_0223",NA,1.17,NA,NA,NA,NA,NA,"5.1bBWY",59829.0598290598,"E64",21.57,20.73,96.105702364395,"parental strains","SCHUNT_SCHUNT","5.1b"
"1139",NA,NA,NA,2,"LM_0224",NA,NA,NA,NA,NA,NA,NA,"5.1bFMY",NA,"E64",19.92,19.21,96.4357429718875,"outbred hybrids","BUSNA_PWD","5.1b"
"1140",NA,NA,NA,5,"LM_0224",NA,0.78,NA,NA,NA,NA,NA,"5.1bEIL",54487.1794871795,"E64",18.41,19.21,104.34546442151,"outbred hybrids","BUSNA_PWD","5.1b"
"1141",NA,NA,NA,1,"LM_0224",NA,NA,NA,NA,NA,NA,NA,"5.1bEMQ",NA,"E64",19.96,19.21,96.2424849699399,"outbred hybrids","BUSNA_PWD","5.1b"
"1142",NA,NA,NA,7,"LM_0224",NA,1.55,NA,NA,NA,NA,NA,"5.1bOPS",85483.8709677419,"E64",19.89,19.21,96.5811965811966,"outbred hybrids","BUSNA_PWD","5.1b"
"1143",NA,NA,NA,6,"LM_0224",NA,1.29,NA,NA,NA,NA,NA,"5.1bIMR",174418.604651163,"E64",18.09,19.21,106.191265892758,"outbred hybrids","BUSNA_PWD","5.1b"
"1144",NA,NA,NA,9,"LM_0224",NA,1.96,NA,NA,NA,NA,NA,"5.1bAMW",6377.55102040816,"E64",19.56,19.21,98.2106339468303,"outbred hybrids","BUSNA_PWD","5.1b"
"1145",NA,NA,NA,0,"LM_0224",NA,1.64,NA,NA,NA,NA,NA,"5.1bKVZ",0,"E64",19.21,19.21,100,"outbred hybrids","BUSNA_PWD","5.1b"
"1146",NA,NA,NA,8,"LM_0224",NA,1.52,NA,NA,NA,NA,NA,"5.1bNOV",13157.8947368421,"E64",20.78,19.21,92.4446583253128,"outbred hybrids","BUSNA_PWD","5.1b"
"1147",NA,NA,NA,3,"LM_0224",NA,1.4,NA,NA,NA,NA,NA,"5.1bEGN",0,"E64",17.97,19.21,106.900389538119,"outbred hybrids","BUSNA_PWD","5.1b"
"1148",NA,NA,NA,10,"LM_0224",NA,1.75,NA,NA,NA,NA,NA,"5.1bBNY",4285.71428571429,"E64",19.63,19.21,97.8604177279674,"outbred hybrids","BUSNA_PWD","5.1b"
"1149",NA,NA,NA,4,"LM_0224",NA,2.01,NA,NA,NA,NA,NA,"5.1bGTX",12437.8109452736,"E64",18.9,19.21,101.640211640212,"outbred hybrids","BUSNA_PWD","5.1b"
"1150",NA,NA,NA,9,"LM_0225",NA,1.18,NA,NA,NA,NA,NA,"5.1bWXZ",2118.64406779661,"E64",28.97,28.05,96.8243010010356,"parental strains","STRA_STRA","5.1b"
"1151",NA,NA,NA,5,"LM_0225",NA,1.12,NA,NA,NA,NA,NA,"5.1bOQX",64732.1428571428,"E64",27,28.05,103.888888888889,"parental strains","STRA_STRA","5.1b"
"1152",NA,NA,NA,4,"LM_0225",NA,2.15,NA,NA,NA,NA,NA,"5.1bNTY",1162.79069767442,"E64",27.81,28.05,100.862998921251,"parental strains","STRA_STRA","5.1b"
"1153",NA,NA,NA,1,"LM_0225",NA,NA,NA,NA,NA,NA,NA,"5.1bDUX",NA,"E64",27.75,28.05,101.081081081081,"parental strains","STRA_STRA","5.1b"
"1154",NA,NA,NA,0,"LM_0225",NA,1.28,NA,NA,NA,NA,NA,"5.1bFGT",0,"E64",28.05,28.05,100,"parental strains","STRA_STRA","5.1b"
