labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight,Expe,Eimeria,,
JKZ,LM0197,8,21.65,21.35,-1.4051522248,0.79,Expe005_1a,E88,,
AJQ,LM0198,8,16.2,17.65,8.2152974504,0.63,Expe005_1a,E88,"bloody poop, soft, shaggy",
FKS,LM0199,8,27.05,26.85,-0.7448789572,1.08,Expe005_1a,E88,,
IKW,LM0200,8,24.84,22.32,-11.2903225806,1.67,Expe005_1a,E88,,
DPR,LM0201,8,22.12,21.75,-1.7011494253,1.61,Expe005_1a,E88,,
BEO,LM0202,8,15.72,17.68,11.0859728507,0,Expe005_1a,E88,"no poop, watery diarrhea",
BCO,LM0203,8,21.57,20.26,-6.4659427443,0.83,Expe005_1a,E88,,
GTY,LM0179,9,17.62,18.93,6.9202324353,0.51,Expe005_1a,E88,,
QVZ,LM0180,9,21.69,24.1,10,0.65,Expe005_1a,E88,,
HPU,LM0181,9,14.73,17.5,15.8285714286,0.23,Expe005_1a,E88,,
JSW,LM0182,9,17.98,16.94,-6.1393152302,1.52,Expe005_1a,E88,,
CIX,LM0183,9,15.72,17.08,7.962529274,0.82,Expe005_1a,E88,,
LSZ,LM0184,9,20.4,22.8,10.5263157895,0.71,Expe005_1a,E88,,
IKO,LM0185,9,19.35,20.1,3.7313432836,0.84,Expe005_1a,E88,,
KQZ,LM0186,9,17.43,18.1,3.7016574586,0.83,Expe005_1a,E88,,
KPZ,LM0187,9,dead ,16.71,#VALUE!,dead,Expe005_1a,E88,sacrificed,
TWY,LM0188,9,17.67,20.6,14.2233009709,0.54,Expe005_1a,E88,,
KWX,LM0189,9,12.86,17.03,24.4862008221,0.17,Expe005_1a,E88,sacrificed,
JNS,LM0190,9,12.68,15.55,18.4565916399,0.31,Expe005_1a,E88,,
FUY,LM0191,9,20.31,21.97,7.5557578516,0.37,Expe005_1a,E88,,
KPV,LM0192,9,19.29,21.06,8.4045584046,0.85,Expe005_1a,E88,,
DTV,LM0193,9,dead ,16.4,#VALUE!,dead,Expe005_1a,E88,"died overnight, laid dead in cage",
RUV,LM0194,9,16.55,20.37,18.7530682376,0.41,Expe005_1a,E88,,
BGI,LM0195,9,16.65,16.88,1.3625592417,0.81,Expe005_1a,E88,,
KNY,LM0196,9,21.27,22.5,5.4666666667,2.05,Expe005_1a,E88,,
LTU,LM0197,9,21.78,21.35,-2.0140515222,0.76,Expe005_1a,E88,,
IKS,LM0198,9,15.86,17.65,10.1416430595,0.27,Expe005_1a,E88,,
GIR,LM0199,9,26.63,26.85,0.8193668529,0.83,Expe005_1a,E88,,
DHM,LM0200,9,24.5,22.32,-9.7670250896,0.97,Expe005_1a,E88,,
EPT,LM0201,9,21.8,21.75,-0.2298850575,1.16,Expe005_1a,E88,,
CMU,LM0202,9,15.56,17.68,11.9909502262,0.27,Expe005_1a,E88,,
LQR,LM0203,9,21.41,20.26,-5.6762092794,0.84,Expe005_1a,E88,,
BLZ,LM0179,10,18.25,18.93,3.5921817221,0.76,Expe005_1a,E88,,
DPT,LM0180,10,22.61,24.1,6.1825726141,1.08,Expe005_1a,E88,,
BCS,LM0181,10,14.5,17.5,17.1428571429,0.34,Expe005_1a,E88,,
DMZ,LM0182,10,17.61,16.94,-3.9551357733,1.32,Expe005_1a,E88,,
ABT,LM0183,10,16.58,17.08,2.9274004684,0.76,Expe005_1a,E88,,
BGM,LM0184,10,20.56,22.8,9.8245614035,1.37,Expe005_1a,E88,,
CHR,LM0185,10,19.09,20.1,5.0248756219,0.5,Expe005_1a,E88,,
FJK,LM0186,10,18.34,18.1,-1.3259668508,1.28,Expe005_1a,E88,,
AKP,LM0187,10,dead ,16.71,#VALUE!,NA,Expe005_1a,E88,,
CIP,LM0188,10,17.03,20.6,17.3300970874,0.73,Expe005_1a,E88,,
AOW,LM0189,10,dead ,17.03,#VALUE!,NA,Expe005_1a,E88,,
LUW,LM0190,10,12.53,15.55,19.421221865,0.43,Expe005_1a,E88,few feces,
BCY,LM0191,10,20.45,21.97,6.9185252617,0.54,Expe005_1a,E88,,
AGL,LM0192,10,19.66,21.06,6.6476733143,0.68,Expe005_1a,E88,,
RTY,LM0193,10,dead ,16.4,#VALUE!,NA,Expe005_1a,E88,diarrhea,
EMX,LM0194,10,17.99,20.37,11.6838487973,0.65,Expe005_1a,E88,,
FTX,LM0195,10,17.09,16.88,-1.2440758294,1.18,Expe005_1a,E88,,
ABN,LM0196,10,20.52,22.5,8.8,3.02,Expe005_1a,E88,,
LYZ,LM0197,10,22.65,21.35,-6.0889929742,1.38,Expe005_1a,E88,,
RXZ,LM0198,10,15.17,17.65,14.0509915014,0.47,Expe005_1a,E88,,
ACJ,LM0199,10,26.62,26.85,0.8566108007,0.95,Expe005_1a,E88,,
BDN,LM0200,10,24.35,22.32,-9.0949820789,1.28,Expe005_1a,E88,,
ESZ,LM0201,10,21.08,21.75,3.0804597701,1.31,Expe005_1a,E88,,
DMQ,LM0202,10,15.74,17.68,10.9728506787,0.74,Expe005_1a,E88,,
LTY,LM0203,10,21.4,20.26,-5.6268509378,0.89,Expe005_1a,E88,,
CXY,LM0179,11,18.88,18.93,0.264131009,,Expe005_1a,E88,,
IJY,LM0180,11,23.59,24.1,2.1161825726,,Expe005_1a,E88,,
CGH,LM0181,11,14.41,17.5,17.6571428571,,Expe005_1a,E88,,
HNX,LM0182,11,18.09,16.94,-6.7886658796,,Expe005_1a,E88,,
PWX,LM0183,11,16.7,17.08,2.224824356,,Expe005_1a,E88,,
KNT,LM0184,11,20.26,22.8,11.1403508772,,Expe005_1a,E88,,
CKW,LM0185,11,19.72,20.1,1.8905472637,,Expe005_1a,E88,,
HQT,LM0186,11,18.01,18.1,0.4972375691,,Expe005_1a,E88,,
CIZ,LM0187,11,dead ,16.71,#VALUE!,dead,Expe005_1a,E88,,
IJT,LM0188,11,17.74,20.6,13.8834951456,,Expe005_1a,E88,,
DGS,LM0189,11,dead ,17.03,#VALUE!,dead,Expe005_1a,E88,,
FJO,LM0190,11,12.9,15.55,17.0418006431,,Expe005_1a,E88,,
JLN,LM0191,11,21.82,21.97,0.6827492035,,Expe005_1a,E88,,
TWZ,LM0192,11,19.91,21.06,5.4605887939,,Expe005_1a,E88,,
DGX,LM0193,11,dead ,16.4,#VALUE!,dead,Expe005_1a,E88,,
CTZ,LM0194,11,18.32,20.37,10.0638193422,,Expe005_1a,E88,,
IJR,LM0195,11,17.23,16.88,-2.0734597156,,Expe005_1a,E88,,
BGT,LM0196,11,20.63,22.5,8.3111111111,,Expe005_1a,E88,,
COV,LM0197,11,22.93,21.35,-7.4004683841,,Expe005_1a,E88,,
EHR,LM0198,11,15.91,17.65,9.8583569405,,Expe005_1a,E88,,
HSZ,LM0199,11,26.42,26.85,1.6014897579,,Expe005_1a,E88,,
CFH,LM0200,11,24.38,22.32,-9.229390681,,Expe005_1a,E88,,
AGK,LM0201,11,20.74,21.75,4.6436781609,,Expe005_1a,E88,,
HJY,LM0202,11,17.15,17.68,2.9977375566,,Expe005_1a,E88,,
GJX,LM0203,11,21.5,20.26,-6.1204343534,,Expe005_1a,E88,,
CIO,LM0204,0,19.26,19.26,0,2.15,Expe005_1b,E64,,
KOX,LM0206,0,16.97,16.97,0,1.47,Expe005_1b,E64,,
CPY,LM0207,0,17.27,17.27,0,1.03,Expe005_1b,E64,,
GQU,LM0208,0,22.82,22.82,0,1.94,Expe005_1b,E64,,
HPQ,LM0209,0,22.09,22.09,0,1.08,Expe005_1b,E64,,
BOU,LM0210,0,15.65,15.65,0,1.43,Expe005_1b,E64,,
BKT,LM0211,0,17.42,17.42,0,1.38,Expe005_1b,E64,,
HJQ,LM0212,0,21.58,21.58,0,1.29,Expe005_1b,E64,,
FHV,LM0213,0,15.39,15.39,0,1.4,Expe005_1b,E64,,
DES,LM0214,0,27.43,27.43,0,1.12,Expe005_1b,E64,,
ELT,LM0215,0,23.9,23.9,0,1.73,Expe005_1b,E64,,
NSU,LM0216,0,18.37,18.37,0,1.26,Expe005_1b,E64,,
FKY,LM0217,0,17.74,17.74,0,1.3,Expe005_1b,E64,,
JLZ,LM0218,0,20.36,20.36,0,1.32,Expe005_1b,E64,,
CHN,LM0219,0,19,19,0,1.67,Expe005_1b,E64,,
AGO,LM0220,0,19.72,19.72,0,1.41,Expe005_1b,E64,,
FQS,LM0221,0,19.73,19.73,0,1.54,Expe005_1b,E64,,
CRW,LM0222,0,23.99,23.99,0,2.47,Expe005_1b,E64,,
