labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
DNZ,LM0238,6,,,0,#DIV/0!,,,,,,,,
MYZ,LM0240,6,,,0,#DIV/0!,,,,,,,,
IMT,LM0248,6,,,0,#DIV/0!,,,,,,,,
HLZ,LM0249,6,,,0,#DIV/0!,,,,,,,,
DUV,LM0255,6,,,0,#DIV/0!,,,,,,,,
ACT,LM0257,6,,,0,#DIV/0!,,,,,,,,
HOT,LM0258,6,,,0,#DIV/0!,,,,,,,,
ALM,LM0259,6,,,0,#DIV/0!,,,,,,,,
FRS,LM0260,6,,,0,#DIV/0!,,,,,,,,
CDG,LM0262,6,,,0,#DIV/0!,,,,,,,,
LVW,LM0263,6,,,0,#DIV/0!,,,,,,,,
OVY,LM0265,6,,,0,#DIV/0!,,,,,,,,
KMR,LM0267,6,,,0,#DIV/0!,,,,,,,,
NTY,LM0269,6,,,0,#DIV/0!,,,,,,,,
BNS,LM0270,6,,,0,#DIV/0!,,,,,,,,
GLW,LM0279,6,,,0,#DIV/0!,,,,,,,,
DXZ,LM0280,6,,,0,#DIV/0!,,,,,,,,
BDS,LM0284,6,,,0,#DIV/0!,,,,,,,,
EJU,LM0285,6,,,0,#DIV/0!,,,,,,,,
FQU,LM0287,6,,,0,#DIV/0!,,,,,,,,
FLZ,LM0291,6,,,0,#DIV/0!,,,,,,,,
GHV,LM0294,6,,,0,#DIV/0!,,,,,,,,
CIY,LM0295,6,,,0,#DIV/0!,,,,,,,,
DJV,LM0229,6,,,0,#DIV/0!,,,,,,,,
IJK,LM0232,6,,,0,#DIV/0!,,,,,,,,
DKY,LM0233,6,,,0,#DIV/0!,,,,,,,,
HJQ,LM0239,6,,,0,#DIV/0!,,,,,,,,
CFP,LM0246,6,,,0,#DIV/0!,,,,,,,,
LMO,LM0247,6,,,0,#DIV/0!,,,,,,,,
MTY,LM0251,6,,,0,#DIV/0!,,,,,,,,
CLW,LM0254,6,,,0,#DIV/0!,,,,,,,,
ACV,LM0256,6,,,0,#DIV/0!,,,,,,,,
HJM,LM0261,6,,,0,#DIV/0!,,,,,,,,
FLX,LM0264,6,,,0,#DIV/0!,,,,,,,,
EGN,LM0266,6,,,0,#DIV/0!,,,,,,,,
FLV,LM0268,6,,,0,#DIV/0!,,,,,,,,
BIQ,LM0271,6,,,0,#DIV/0!,,,,,,,,
HWY,LM0272,6,,,0,#DIV/0!,,,,,,,,
KPZ,LM0273,6,,,0,#DIV/0!,,,,,,,,
HLP,LM0275,6,,,0,#DIV/0!,,,,,,,,
RXZ,LM0276,6,,,0,#DIV/0!,,,,,,,,
BIN,LM0277,6,,,0,#DIV/0!,,,,,,,,
DHY,LM0278,6,,,0,#DIV/0!,,,,,,,,
HTZ,LM0281,6,,,0,#DIV/0!,,,,,,,,
HNO,LM0282,6,,,0,#DIV/0!,,,,,,,,
AWX,LM0283,6,,,0,#DIV/0!,,,,,,,,
BGI,LM0286,6,,,0,#DIV/0!,,,,,,,,
FIJ,LM0288,6,,,0,#DIV/0!,,,,,,,,
NUW,LM0289,6,,,0,#DIV/0!,,,,,,,,
EJO,LM0292,6,,,0,#DIV/0!,,,,,,,,
CFU,LM0293,6,,,0,#DIV/0!,,,,,,,,
ITW,LM0227,7,,,0,#DIV/0!,,,,,,,,
JPQ,LM0228,7,,,0,#DIV/0!,,,,,,,,
BIP,LM0231,7,,,0,#DIV/0!,,,,,,,,
BMN,LM0234,7,,,0,#DIV/0!,,,,,,,,
GKP,LM0235,7,,,0,#DIV/0!,,,,,,,,
MPX,LM0236,7,,,0,#DIV/0!,,,,,,,,
ACL,LM0238,7,,,0,#DIV/0!,,,,,,,,
JLM,LM0240,7,,,0,#DIV/0!,,,,,,,,
KMW,LM0248,7,,,0,#DIV/0!,,,,,,,,
JUX,LM0249,7,,,0,#DIV/0!,,,,,,,,
PRZ,LM0255,7,,,0,#DIV/0!,,,,,,,,
GKT,LM0257,7,,,0,#DIV/0!,,,,,,,,
CEU,LM0258,7,,,0,#DIV/0!,,,,,,,,
ILZ,LM0259,7,,,0,#DIV/0!,,,,,,,,
FNP,LM0260,7,,,0,#DIV/0!,,,,,,,,
BMV,LM0262,7,,,0,#DIV/0!,,,,,,,,
DGH,LM0263,7,,,0,#DIV/0!,,,,,,,,
QVW,LM0265,7,,,0,#DIV/0!,,,,,,,,
IVY,LM0267,7,,,0,#DIV/0!,,,,,,,,
CPX,LM0269,7,,,0,#DIV/0!,,,,,,,,
BHM,LM0270,7,,,0,#DIV/0!,,,,,,,,
BKQ,LM0279,7,,,0,#DIV/0!,,,,,,,,
INZ,LM0280,7,,,0,#DIV/0!,,,,,,,,
QSW,LM0284,7,,,0,#DIV/0!,,,,,,,,
GIP,LM0285,7,,,0,#DIV/0!,,,,,,,,
HOS,LM0287,7,,,0,#DIV/0!,,,,,,,,
KMS,LM0291,7,,,0,#DIV/0!,,,,,,,,
APZ,LM0294,7,,,0,#DIV/0!,,,,,,,,
JPT,LM0295,7,,,0,#DIV/0!,,,,,,,,
BLY,LM0229,7,,,0,#DIV/0!,,,,,,,,
GMU,LM0232,7,,,0,#DIV/0!,,,,,,,,
FTZ,LM0233,7,,,0,#DIV/0!,,,,,,,,
JQU,LM0239,7,,,0,#DIV/0!,,,,,,,,
HPR,LM0246,7,,,0,#DIV/0!,,,,,,,,
