"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_type","oocyst_mean","OPG"
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxLUV",18.78,19.06,98.5309548793284,2.35,4,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aORU",13.83,15.82,87.4209860935525,0.8,10,"primary",9,4,4,9,1,26,65000,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aHJK",15.38,15.82,97.2187104930468,1.07,11,"primary",4,14,1,12,1,31,77500,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aHQZ",16.16,15.82,102.149178255373,0,2,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxBIO",18.88,19.06,99.0556138509968,1.23,2,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aMNT",15.84,15.82,100.126422250316,0.82,5,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxABG",18.38,19.06,96.4323189926548,1.63,1,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxCNT",19.88,19.06,104.302203567681,3.34,5,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aHIO",14.53,15.82,91.8457648546144,0.98,7,"primary",6,13,6,13,1,38,95000,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57aIJQ",15.82,15.82,100,0.67,0,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxNTU",18.67,19.06,97.9538300104932,1.98,7,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0229","E57","SCHUNT_SCHUNT","E88","UNI","E88_UNI","E57bxDKR",19.06,19.06,100,1.4,0,"challenge",0,0,0,0,1,0,0,"UNI",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aFLR",17.67,18.71,94.4414751469802,1.19,11,"primary",10,6,8,10,2,34,42500,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxANS",22.57,20.69,109.086515224746,1.4,2,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxCEK",20.43,20.69,98.7433542774287,2.81,8,"challenge",13,15,16,16,1,60,150000,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxBMW",22,20.69,106.331561140648,2.09,3,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aAOR",16.64,18.71,88.9363976483164,0.51,10,"primary",20,27,15,26,1,88,220000,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aBUY",18.44,18.71,98.5569214323891,1.18,5,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxJRZ",20.66,20.69,99.8550024166264,1.53,7,"challenge",93,74,106,129,1,402,1005000,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aSXZ",19.08,18.71,101.97755211117,1.46,4,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxGJT",20.52,20.69,99.1783470275495,0.95,6,"challenge",21,21,20,17,1,79,197500,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxCOV",20.95,20.69,101.256645722571,1.53,5,"challenge",144,134,117,108,1,503,1257500,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aAFW",18.71,18.71,100,1.31,0,"primary",0,0,0,0,2,0,0,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aNSW",15.87,18.71,84.8209513629075,0.2,8,"primary",1,4,10,9,1,24,60000,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aIWY",15.39,18.71,82.2554783538215,0.4,9,"primary",13,48,16,24,1,101,252500,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aBGQ",17.2,18.71,91.9294494922501,0.8,7,"primary",2,4,0,2,1,8,20000,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxCIK",21.41,20.69,103.479942000967,1.13,1,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aDKZ",19.47,18.71,104.061998931053,0,2,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aFMT",18.58,18.71,99.3051843933725,0.91,6,"primary",0,0,0,0,1,0,0,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aLQX",19.8,18.71,105.8257616248,0,3,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxBCE",21.45,20.69,103.673272112131,2.39,4,"challenge",2,3,3,6,1,14,35000,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57bxBOY",20.69,20.69,100,2.11,0,"challenge",0,0,0,0,1,0,0,"heterologous_E64",NA,NA
"LM0231","E57","PWD_SCHUNT","E88","E64","E88_E64","E57aDRV",18.82,18.71,100.587920897916,0,1,"primary",NA,NA,NA,NA,1,NA,NA,"primary_E88",NA,NA
