"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aKNT",20.26,22.8,88.859649122807,1.8,11,"primary",6,4,8,10,2
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aCUX",22.8,22.8,100,1.14,0,"primary",0,0,0,0,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aEHS",21.86,22.8,95.8771929824561,1.51,4,"primary",0,0,0,0,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aBGM",20.56,22.8,90.1754385964912,1.37,10,"primary",8,6,8,9,2
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aLPU",22.19,22.8,97.3245614035088,0,3,"primary",NA,NA,NA,NA,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aSYZ",21.32,22.8,93.5087719298246,0.85,6,"primary",0,0,0,0,1
"LM0184","E57","STRA_SCHUNT","E88",NA,NA,"E57aEKO",22.54,22.8,98.859649122807,0,1,"primary",NA,NA,NA,NA,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aCEG",20.1,20.1,100,1.19,0,"primary",0,0,0,0,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aCHR",19.09,20.1,94.9751243781094,0.5,10,"primary",2,12,8,9,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aDMV",19.63,20.1,97.6616915422885,0.62,8,"primary",54,56,73,57,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aBCE",20.6,20.1,102.487562189055,0.94,4,"primary",0,0,0,0,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aEFU",20.14,20.1,100.199004975124,1.32,6,"primary",0,0,0,0,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aMOV",20.33,20.1,101.144278606965,0,1,"primary",NA,NA,NA,NA,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aBIL",20.06,20.1,99.8009950248756,0.82,7,"primary",0,0,0,1,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aCKR",20.26,20.1,100.796019900498,1.73,5,"primary",0,0,0,0,2
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aIPT",20.13,20.1,100.149253731343,0,3,"primary",NA,NA,NA,NA,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aCKW",19.72,20.1,98.1094527363184,0.81,11,"primary",0,0,0,0,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aIPY",20.64,20.1,102.686567164179,0,2,"primary",NA,NA,NA,NA,1
"LM0185","E57","STRA_BUSNA","E88",NA,NA,"E57aIKO",19.35,20.1,96.2686567164179,0.84,9,"primary",17,20,25,21,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aEJM",18.31,18.1,101.160220994475,0.94,6,"primary",0,0,0,0,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aSUW",17.71,18.1,97.8453038674033,0,1,"primary",NA,NA,NA,NA,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aFJK",18.34,18.1,101.325966850829,1.28,10,"primary",4,3,11,3,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aBQZ",17.85,18.1,98.6187845303867,0.59,7,"primary",0,0,0,1,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aFPV",18.1,18.1,100,1.27,0,"primary",0,0,0,0,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aKQZ",17.43,18.1,96.2983425414365,0.83,9,"primary",22,32,27,17,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aHQT",18.01,18.1,99.5027624309392,0.91,11,"primary",0,1,0,0,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aCDE",17.72,18.1,97.9005524861878,0,2,"primary",NA,NA,NA,NA,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aJPY",17.55,18.1,96.9613259668508,0.16,8,"primary",6,13,10,14,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aBQY",18.45,18.1,101.933701657459,1.06,5,"primary",0,0,0,0,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aCEW",18.25,18.1,100.828729281768,1.65,4,"primary",0,0,0,0,1
"LM0186","E57","PWD_SCHUNT","E88",NA,NA,"E57aFJQ",17.82,18.1,98.4530386740331,0,3,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aMNV",16.18,16.71,96.8282465589467,0,3,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aAOP",15.13,16.71,90.5445840813884,0.35,7,"primary",1,0,0,0,1
