labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight,,,,,,,,,,
MRZ,LM0251,7,22.66,23.16,97.84,1.12,,,,,,,,,,
LRS,LM0254,7,22.75,22.32,101.93,1.71,,,,,,,,,,
BMX,LM0256,7,30.58,29.15,104.91,1.59,,,,,,,,,,
PRZ,LM0261,7,19.74,20.09,98.26,1.21,,,,,,,,,,
BQY,LM0264,7,18.40,17.88,102.91,1.08,,,,,,,,,,
COW,LM0266,7,20.44,23.94,85.38,2.17,,,,,,,,,,
AYZ,LM0268,7,19.20,20.84,92.13,1.58,,,,,,,,,,
KQW,LM0271,7,23.28,24.25,96.00,1.79,,,,,,,,,,
MNW,LM0227,8,23.81,23.86,99.79,2.73,,,,,,,,,,
BGY,LM0228,8,23.50,21.23,110.69,1.13,,,,,,,,,,
CEK,LM0231,8,20.43,20.69,98.74,2.81,,,,,,,,,,
BLW,LM0234,8,32.64,32.76,99.63,1.63,,,,,,,,,,
DTU,LM0235,8,19.51,19.58,99.64,0.95,,,,,,,,,,
FRU,LM0236,8,27.05,26.25,103.05,2.33,,,,,,,,,,
LYZ,LM0238,8,20.41,21.39,95.42,1.38,,,,,,,,,,
CIW,LM0240,8,20.45,20.45,100.00,1.39,,,,,,,,,,
APS,LM0248,8,20.58,23.46,87.72,2.50,,,,,,,,,,
PSV,LM0249,8,24.40,26.10,93.49,2.71,,,,,,,,,,
MOR,LM0255,8,16.99,18.26,93.04,1.41,,,,,,,,,,
JQU,LM0257,8,20.44,22.75,89.85,1.46,,,,,,,,,,
HVW,LM0258,8,18.28,19.74,92.60,1.22,,,,,,,,,,
GHI,LM0259,8,28.32,28.89,98.03,2.58,,,,,,,,,,
EMW,LM0229,8,19.01,19.06,99.74,2.36,,,,,,,,,,
CUY,LM0232,8,26.98,26.37,102.31,2.15,,,,,,,,,,
STU,LM0233,8,29.96,29.77,100.64,1.75,,,,,,,,,,
JMR,LM0239,8,18.47,19.41,95.16,2.87,,,,,,,,,,
JMX,LM0247,8,25.93,27.13,95.58,7.14,,,,,,,,,,
EOT,LM0251,8,21.84,23.16,94.30,1.32,,,,,,,,,,
BCD,LM0254,8,21.04,22.32,94.27,3.97,,,,,,,,,,
JVZ,LM0256,8,29.82,29.15,102.30,2.16,,,,,,,,,,
KOP,LM0261,8,18.69,20.09,93.03,1.36,,,,,,,,,,
ADL,LM0264,8,17.81,17.88,99.61,1.01,,,,,,,,,,
IOS,LM0266,8,19.59,23.94,81.83,2.79,,,,,,,,,,
GSW,LM0268,8,19.11,20.84,91.70,2.11,,,,,,,,,,
PSU,LM0271,8,23.34,24.25,96.25,2.08,,,,,,,,,,
