"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
21,31.1,6.32530120481928,2.85,9,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,34.3,2.5568181818182,5.68,9,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,35.2,0.845070422535199,2.76,9,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,29.9,7.43034055727554,1.77,10,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
2,37.7,-1.89189189189189,4.31,10,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,40.9,3.9906103286385,5.41,10,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,39.4,3.43137254901961,5.83,10,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,39.8,3.86473429951691,4.23,10,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,37.3,1.32275132275133,6.69,10,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,40.2,1.22850122850123,4.7,10,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,43,-0.938967136150226,5.26,10,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,39.8,2.21130221130222,2.35,10,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,32.2,-5.92105263157896,2.75,10,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,31.3,7.94117647058823,3.84,10,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,28.6,-2.87769784172662,2.86,10,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,38,1.04166666666666,3.65,10,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,40.5,2.64423076923077,3.22,10,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,36.6,-1.1049723756906,4,10,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,35.4,-2.3121387283237,4.72,10,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,34.2,-2.39520958083834,2.88,10,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,39,3.2258064516129,4.08,10,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,42.8,3.60360360360361,3.87,10,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,29.8,10.2409638554217,3.58,10,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,34.9,0.85227272727274,3.22,10,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,36.5,-2.8169014084507,3.34,10,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,11,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
