Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
H1,H2O,Eimeria,NTC,,30.5,29.62,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
H2,H2O,Eimeria,NTC,,29.63,29.62,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
H3,H2O,Eimeria,NTC,,28.72,29.62,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
H10,H2O,Eimeria,NTC,,30.33,30.82,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
H11,H2O,Eimeria,NTC,,31.1,30.82,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
H12,H2O,Eimeria,NTC,,31.04,30.82,0.911,0,,,300620,Victor,ABI,0,E_falciformis,water,,,,,,
A1,Eimeria_10_6,Eimeria,Standard,A,14.75,14.03,0.758,2000000,,,80720,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
A2,Eimeria_10_6,Eimeria,Standard,A,14.1,14.03,0.758,2000000,,,80720,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
A3,Eimeria_10_6,Eimeria,Standard,A,13.24,14.03,0.758,2000000,,,80720,Victor,ABI,2000000,E_falciformis,Oocysts,,1.13,,Glass_beads,,
B1,Eimeria_10_5,Eimeria,Standard,A,18.08,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B2,Eimeria_10_5,Eimeria,Standard,A,16.77,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
B3,Eimeria_10_5,Eimeria,Standard,A,15.02,16.62,1.531,200000,,,80720,Victor,ABI,200000,E_falciformis,Oocysts,,,,Glass_beads,,
C1,Eimeria_10_4,Eimeria,Standard,A,22.3,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C2,Eimeria_10_4,Eimeria,Standard,A,20.55,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
C3,Eimeria_10_4,Eimeria,Standard,A,18.21,20.35,2.053,20000,,,80720,Victor,ABI,20000,E_falciformis,Oocysts,,,,Glass_beads,,
D1,Eimeria_10_3,Eimeria,Standard,A,26.07,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D2,Eimeria_10_3,Eimeria,Standard,A,24.24,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
D3,Eimeria_10_3,Eimeria,Standard,A,22.23,24.18,1.919,2000,,,80720,Victor,ABI,2000,E_falciformis,Oocysts,,,,Glass_beads,,
E1,Eimeria_10_2,Eimeria,Standard,A,27.98,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E2,Eimeria_10_2,Eimeria,Standard,A,28.02,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
E3,Eimeria_10_2,Eimeria,Standard,A,26.67,27.56,0.767,200,,,80720,Victor,ABI,200,E_falciformis,Oocysts,,,,Glass_beads,,
F1,Eimeria_10_1,Eimeria,Standard,A,32.58,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F2,Eimeria_10_1,Eimeria,Standard,A,31.47,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
F3,Eimeria_10_1,Eimeria,Standard,A,29.44,31.16,1.592,20,,,80720,Victor,ABI,20,E_falciformis,Oocysts,,,,Glass_beads,,
G1,Eimeria_10_0,Eimeria,Standard,A,33.76,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G2,Eimeria_10_0,Eimeria,Standard,A,32.9,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
G3,Eimeria_10_0,Eimeria,Standard,A,32.28,32.98,0.744,2,,,80720,Victor,ABI,2,E_falciformis,Oocysts,,,,Glass_beads,,
H1,H2O,Eimeria,NTC,,29.25,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
H2,H2O,Eimeria,NTC,,30.39,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
H3,H2O,Eimeria,NTC,,30.03,29.89,0.585,,,,80720,Victor,ABI,0,E_falciformis,water,,,,,,
A1,Eimeria 10_6,Eimeria,Standard,C,10.26,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A2,Eimeria 10_6,Eimeria,Standard,C,9.61,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
A3,Eimeria 10_6,Eimeria,Standard,C,7.49,9.12,1.45,2100000,,,120320,Victor,Eppendorf,2100000,E_ferrisi,Oocysts,,25.5,31.6,Glass_beads,,
